Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.81564,0.666667,0.333333
1,1.6399,0.67015,0.330048
2,1.48217,0.673804,0.326984
3,1.27545,0.67965,0.322756
4,1.03765,0.688177,0.317736
5,0.782934,0.698652,0.312921
6,0.551344,0.708681,0.30934
7,0.368716,0.717438,0.30686
8,0.234176,0.725309,0.30502
9,0.142227,0.733046,0.303405
10,0.0818328,0.733745,0.302905
11,0.04745,0.737177,0.302427
12,0.0255222,0.739387,0.30177
13,0.0149884,0.740355,0.301693
14,0.0115129,0.740351,0.301853
15,0.0080091,0.740355,0.301953
16,0.00998672,0.740652,0.302213
17,0.00763159,0.740549,0.302238
18,0.00564772,0.740442,0.302278
19,0.00519347,0.740455,0.30231
20,0.00667349,0.740577,0.302475
21,0.00427096,0.740458,0.302522
22,0.00593731,0.740541,0.30266
23,0.00484403,0.740512,0.302669
24,0.00377196,0.740419,0.302689
25,0.00347604,0.740428,0.302704
26,0.00359381,0.740461,0.302745
27,0.00387737,0.740472,0.302806
28,0.00318746,0.740456,0.30283
29,0.00570673,0.740638,0.302936
30,0.00511817,0.740636,0.30294
31,0.00438302,0.740598,0.302946
32,0.00359449,0.740529,0.302956
33,0.00302554,0.740549,0.302969
34,0.00281685,0.740554,0.302985
35,0.00280888,0.740558,0.303016
36,0.00315902,0.740586,0.303086
37,0.00263834,0.740551,0.303096
38,0.00369051,0.740625,0.303198
39,0.00278492,0.740572,0.303209
40,0.00336498,0.740608,0.303306
41,0.00259075,0.740579,0.303351
42,0.00564119,0.74067,0.303614
43,0.00500478,0.740681,0.303618
44,0.00424257,0.740643,0.303624
45,0.00341859,0.740563,0.303636
46,0.0026663,0.740554,0.303646
47,0.00232043,0.740562,0.303669
48,0.00232678,0.740568,0.303708
49,0.00276443,0.740565,0.303801
50,0.00254291,0.740564,0.303803
51,0.00222682,0.740526,0.303809
52,0.00210622,0.740531,0.303818
53,0.0020818,0.740528,0.303829
54,0.00233334,0.740533,0.303895
55,0.00213816,0.740519,0.303898
56,0.00208317,0.74051,0.303923
57,0.0020874,0.740505,0.303953
58,0.00201949,0.740495,0.303967
59,0.00200843,0.740495,0.303975
60,0.00200189,0.740491,0.303979
61,0.00200037,0.740489,0.303982
62,0.001999,0.740489,0.303983
