Tolerance,Required Steps
0.9,1
0.9,1
0.854145,1
0.810626,1
0.769325,1
0.730128,1
0.692928,1
0.657623,1
0.624117,1
0.592318,2
0.56214,2
0.533499,4
0.506317,6
0.48052,8
0.60978,6
0.578711,10
0.74648,1
0.708447,3
0.672351,4
0.638095,7
0.605584,7
0.604978,14
0.801687,1
0.760841,3
0.722076,4
0.685286,7
0.650371,11
0.776731,11
0.775954,22
0.887089,1
0.841892,1
0.798998,2
0.758289,3
0.719654,5
0.709302,8
0.711314,13
0.821525,3
0.779668,16
0.739944,2
0.717436,18
0.680882,14
0.771206,26
0.875927,1
0.831298,1
0.788943,2
0.748747,3
0.749353,5
0.861047,8
0.858697,13
0.912131,1
0.865658,2
0.897242,3
0.948619,5
0.959748,8
0.910848,1
0.934446,9
0.959114,8
0.957172,7
0.989359,5
0.994807,4
0.998058,3
0.998814,2
