Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.20651,0.666667,0.333333
1,1.08154,0.67012,0.330169
2,0.969519,0.673873,0.327218
3,0.818775,0.680084,0.323089
4,0.646683,0.689533,0.317875
5,0.458273,0.705967,0.310412
6,0.320238,0.732241,0.294461
7,0.235432,0.761152,0.275623
8,0.161342,0.772934,0.269014
9,0.100815,0.78938,0.262795
10,0.0585039,0.808511,0.257417
11,0.0333565,0.820239,0.251105
12,0.0209929,0.830527,0.246377
13,0.0162437,0.831752,0.245715
14,0.0119318,0.836044,0.243313
15,0.00893304,0.839806,0.241141
16,0.00824943,0.840856,0.240161
17,0.00767404,0.842482,0.239219
18,0.00765561,0.844568,0.237601
19,0.0065601,0.844513,0.237593
20,0.00737176,0.847201,0.235697
21,0.00583494,0.847127,0.235679
22,0.00705389,0.849445,0.234235
23,0.00517813,0.849385,0.234222
24,0.00685384,0.851063,0.232992
25,0.00475219,0.851048,0.232974
26,0.00905757,0.853322,0.231817
27,0.00863076,0.853365,0.231817
28,0.00793593,0.853326,0.231816
29,0.0070642,0.853261,0.231813
30,0.00606523,0.853264,0.231807
31,0.00503234,0.853272,0.231802
32,0.00431334,0.853297,0.231794
33,0.00413752,0.853287,0.231775
34,0.00477848,0.853414,0.231737
35,0.00400453,0.853391,0.231733
36,0.00535883,0.853588,0.231652
37,0.00418576,0.853563,0.231647
38,0.00648039,0.853841,0.231505
39,0.00468444,0.853787,0.2315
40,0.00784463,0.854159,0.231313
41,0.00529742,0.854083,0.231307
42,0.0090644,0.854525,0.231097
43,0.00573207,0.854432,0.231088
44,0.0102325,0.854966,0.230848
45,0.00608171,0.854857,0.230838
46,0.0102129,0.855414,0.230605
47,0.00578585,0.855312,0.230595
48,0.0115405,0.856197,0.230208
49,0.00618791,0.856093,0.230197
50,0.0123205,0.857298,0.229694
51,0.00628279,0.857198,0.229685
52,0.0125521,0.858773,0.22892
53,0.00636885,0.858734,0.228906
54,0.0111487,0.860331,0.228135
55,0.00647537,0.860339,0.228119
56,0.0109185,0.861369,0.227604
57,0.0102602,0.861414,0.227603
58,0.00930674,0.861377,0.227602
59,0.00817913,0.861328,0.227601
60,0.00696692,0.86127,0.2276
61,0.00556265,0.861208,0.227598
62,0.00467884,0.86129,0.227595
63,0.00478501,0.861374,0.227592
64,0.00386722,0.861306,0.227589
65,0.00586242,0.861323,0.227588
66,0.0037431,0.861253,0.227587
67,0.00535094,0.861343,0.227587
68,0.00306499,0.861284,0.227585
69,0.00517568,0.861425,0.227578
70,0.00346838,0.861364,0.227576
71,0.00489996,0.861494,0.227562
72,0.00297534,0.861436,0.227559
73,0.00566139,0.861607,0.227534
74,0.00397686,0.861562,0.227531
75,0.00274479,0.861599,0.227528
76,0.00281975,0.861601,0.227524
77,0.00395847,0.861621,0.227511
78,0.00345149,0.861617,0.22751
79,0.0028742,0.861587,0.227509
80,0.00248737,0.861583,0.227508
81,0.00244016,0.861626,0.227507
82,0.00262123,0.861672,0.227504
83,0.00328545,0.861679,0.227497
84,0.00249862,0.86165,0.227496
85,0.0034109,0.861718,0.227487
86,0.00268838,0.861686,0.227485
87,0.00365925,0.861756,0.227476
88,0.00270741,0.861721,0.227475
89,0.00462324,0.861845,0.227461
90,0.00349438,0.861819,0.22746
91,0.00294014,0.861861,0.227455
92,0.00350997,0.861876,0.227448
93,0.00259561,0.861844,0.227447
94,0.00453174,0.861959,0.227437
95,0.00354416,0.861941,0.227436
96,0.00255479,0.861907,0.227436
97,0.00245594,0.861964,0.227435
98,0.0028054,0.861978,0.227432
99,0.00374095,0.862008,0.227424
100,0.00330505,0.862005,0.227424
101,0.00279149,0.861978,0.227423
102,0.00243417,0.86197,0.227422
103,0.00240078,0.862002,0.227422
104,0.00259909,0.862044,0.22742
105,0.00329898,0.862057,0.227416
106,0.00256532,0.862027,0.227415
107,0.0035162,0.862088,0.22741
108,0.00271356,0.862054,0.227409
109,0.00363561,0.862122,0.227404
110,0.00266842,0.862088,0.227403
111,0.00452771,0.862197,0.227394
112,0.00346655,0.862174,0.227394
113,0.00256422,0.862203,0.227396
114,0.00266564,0.86222,0.227394
115,0.00386006,0.862236,0.227388
116,0.00343868,0.862237,0.227387
117,0.00293768,0.862213,0.227386
118,0.0024559,0.862197,0.227386
119,0.00241226,0.862247,0.227386
120,0.00262367,0.862279,0.227384
121,0.00318544,0.862289,0.227381
122,0.00244877,0.862261,0.22738
123,0.00338546,0.862313,0.227375
124,0.00274626,0.862292,0.227374
125,0.00347036,0.862346,0.227369
126,0.00252592,0.862313,0.227367
127,0.00393895,0.862393,0.227359
128,0.00314349,0.862376,0.227357
129,0.00404569,0.86244,0.227348
130,0.00291196,0.862397,0.227348
131,0.00441223,0.862509,0.227336
132,0.00308333,0.862461,0.227335
133,0.00548708,0.862597,0.227317
134,0.00376198,0.862552,0.227316
135,0.0052467,0.862664,0.227299
136,0.00323043,0.862605,0.227299
137,0.00576069,0.862752,0.227279
138,0.00375519,0.86269,0.227277
139,0.00603903,0.862844,0.227257
140,0.00360613,0.862776,0.227256
141,0.00704045,0.862979,0.227229
142,0.00421952,0.862899,0.227226
143,0.00749991,0.863117,0.227198
144,0.00415282,0.863033,0.227194
145,0.00784987,0.863255,0.227163
146,0.00422835,0.863167,0.22716
147,0.00855282,0.863414,0.227122
148,0.00455132,0.863319,0.227118
149,0.00898577,0.863591,0.227071
150,0.00451719,0.86349,0.227067
151,0.00944112,0.863782,0.227013
152,0.00476674,0.863674,0.227012
153,0.0104041,0.864002,0.226954
154,0.00505295,0.863884,0.226953
155,0.0108921,0.864217,0.226898
156,0.0050569,0.864092,0.226897
157,0.0119935,0.86445,0.226844
158,0.00557974,0.864314,0.22684
159,0.0129071,0.864695,0.226787
