Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.2065,0.313133,1.31313
1,1.0709,0.301738,1.29771
2,0.952907,0.300612,1.28731
3,0.795604,0.309135,1.27655
4,0.62114,0.329714,1.26737
5,0.489442,0.350353,1.24007
6,0.4496,0.390724,1.16387
7,0.331704,0.390559,1.14344
8,0.272025,0.524343,1.07974
9,0.177928,0.518661,1.07525
10,0.109768,0.613114,1.05092
11,0.0933101,0.670237,1.0339
12,0.0675604,0.664058,1.03186
13,0.0570429,0.697333,1.01962
14,0.0479907,0.696489,1.01947
15,0.0543675,0.717928,1.01316
16,0.0444588,0.716066,1.01356
17,0.0568221,0.73658,1.01305
18,0.0510605,0.736156,1.01322
19,0.049718,0.735307,1.0137
20,0.0480342,0.735478,1.01502
21,0.0481436,0.740061,1.01685
22,0.0453939,0.741348,1.01787
23,0.0527003,0.750913,1.02078
24,0.0454904,0.750676,1.02084
25,0.0458438,0.753822,1.02062
26,0.0418546,0.758569,1.02031
27,0.0365185,0.758561,1.01994
28,0.125255,0.779408,1.02593
29,0.117163,0.779419,1.02597
30,0.100907,0.779344,1.02611
31,0.0853425,0.779097,1.02637
32,0.0804194,0.778018,1.02662
33,0.0775809,0.776684,1.02731
34,0.0780654,0.776177,1.02834
35,0.0780832,0.778026,1.03043
36,0.0753448,0.78589,1.03391
37,0.0769043,0.792334,1.03598
38,0.101875,0.801598,1.04188
39,0.0779432,0.801451,1.04203
40,0.0706811,0.801651,1.0434
41,0.070098,0.804232,1.04361
42,0.0761838,0.807335,1.04492
43,0.0743057,0.807693,1.04524
44,0.0786205,0.808129,1.04567
45,0.0834295,0.808541,1.0461
46,0.0894893,0.809056,1.04659
47,0.0977972,0.809639,1.04712
48,0.10712,0.810273,1.04768
49,0.119642,0.810964,1.04829
50,0.13139,0.811746,1.04898
51,0.147461,0.812681,1.04979
52,0.168553,0.813822,1.05075
53,0.189382,0.815612,1.05245
54,0.219783,0.818193,1.05481
55,0.369821,0.821993,1.05811
