Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.2141,0.666667,0.333333
1,1.08834,0.670095,0.330158
2,0.975921,0.673705,0.327241
3,0.826043,0.679437,0.323251
4,0.659195,0.687566,0.318474
5,0.494892,0.698857,0.312832
6,0.348398,0.719759,0.302774
7,0.24071,0.745351,0.285968
8,0.157769,0.760432,0.275631
9,0.102221,0.778276,0.268619
10,0.0603268,0.791207,0.264798
11,0.033943,0.805328,0.260474
12,0.0180095,0.810319,0.257511
13,0.0106135,0.815468,0.255494
14,0.00746055,0.817612,0.254023
15,0.00572175,0.82009,0.253119
16,0.0047874,0.820832,0.252504
17,0.00432347,0.822311,0.252027
18,0.00420507,0.822627,0.251782
19,0.00407447,0.822825,0.251733
20,0.00560563,0.823715,0.251437
21,0.00492298,0.823696,0.251436
22,0.00412671,0.823632,0.251434
23,0.00355991,0.823674,0.251432
24,0.00328269,0.823711,0.251426
25,0.00319996,0.823757,0.251414
26,0.00337951,0.823981,0.251321
27,0.00447299,0.824762,0.251026
28,0.00397566,0.824748,0.251026
29,0.00336941,0.824703,0.251024
30,0.00301198,0.824738,0.251023
31,0.00280975,0.824762,0.251018
32,0.00276733,0.824813,0.251003
33,0.0028621,0.825022,0.250905
34,0.00297637,0.825346,0.250776
35,0.00269102,0.825325,0.250775
36,0.00284956,0.825631,0.250663
37,0.00300717,0.825903,0.250565
38,0.00253985,0.825884,0.250564
39,0.00379032,0.82658,0.250345
40,0.00293894,0.82654,0.250344
41,0.00311018,0.826816,0.250273
42,0.00309321,0.826983,0.250227
43,0.00369357,0.827412,0.250111
44,0.0027551,0.82737,0.25011
45,0.00247668,0.827415,0.250109
46,0.002148,0.827418,0.250108
47,0.00203776,0.82742,0.250108
48,0.00200955,0.82742,0.250108
49,0.00200198,0.82742,0.250107
50,0.0019998,0.827421,0.250107
