Iteration,rel. Discrepancy,Norm
0,1,0
1,0.912042,0.00459553
2,0.885841,0.00658785
3,0.870664,0.00871747
4,0.856932,0.012032
5,0.85378,0.0131319
6,0.852909,0.01357
7,0.850652,0.0148341
8,0.848451,0.0166394
9,0.847477,0.0175285
10,0.84419,0.0216704
11,0.842575,0.0241115
12,0.840832,0.0268754
13,0.836689,0.0341842
14,0.833176,0.040944
15,0.827574,0.0522028
16,0.818626,0.0710949
17,0.81556,0.0777158
18,0.810752,0.088228
19,0.802777,0.105851
20,0.796208,0.120538
21,0.791174,0.131806
22,0.782432,0.151523
23,0.775476,0.167233
