Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.332434,0.666667,0.333333
1,0.308975,0.666867,0.333147
2,0.286934,0.667075,0.332979
3,0.25649,0.667402,0.332762
4,0.220198,0.66788,0.332528
5,0.181175,0.668582,0.332323
6,0.138129,0.669758,0.332234
7,0.104821,0.671109,0.332359
8,0.0789842,0.672126,0.33246
9,0.0562719,0.673912,0.332513
10,0.0415339,0.676472,0.331915
11,0.0304505,0.678902,0.331082
12,0.0227134,0.679353,0.331
13,0.019223,0.680559,0.330924
14,0.0174791,0.681325,0.330935
15,0.0141989,0.681331,0.330964
16,0.0160141,0.68257,0.330878
17,0.0146447,0.682537,0.330888
18,0.0131611,0.682493,0.330902
19,0.0116286,0.682433,0.330923
20,0.0108821,0.682401,0.330934
21,0.0103706,0.682399,0.330929
22,0.0103352,0.682717,0.330874
23,0.0122468,0.68379,0.330835
24,0.0105133,0.683752,0.330849
25,0.00867946,0.683698,0.330873
26,0.00769582,0.683666,0.330893
27,0.00717875,0.683644,0.330899
28,0.00690827,0.683681,0.330921
29,0.00728584,0.684113,0.331086
30,0.0060541,0.684081,0.331105
31,0.00699102,0.68466,0.331424
32,0.00667782,0.684654,0.331426
33,0.00621285,0.684644,0.331431
34,0.00556403,0.684628,0.331439
35,0.0049332,0.684604,0.331451
36,0.00459542,0.684587,0.331458
37,0.00438529,0.684566,0.331455
38,0.00426329,0.684555,0.331463
39,0.00417659,0.684611,0.331548
40,0.00422201,0.684893,0.331818
41,0.00387898,0.684889,0.331821
42,0.00349875,0.6849,0.331858
43,0.00354897,0.685031,0.332018
44,0.0030861,0.685023,0.332023
45,0.00312576,0.68523,0.332159
46,0.00291121,0.685239,0.332238
47,0.0027369,0.685309,0.332287
48,0.00272986,0.685444,0.332434
49,0.00239991,0.685437,0.332436
