Tolerance,Required Steps
0.9,1
0.9,1
0.854145,1
0.810626,1
0.769325,1
0.730128,2
0.692928,3
0.657623,3
0.624117,4
0.592318,6
0.56214,8
0.670933,8
0.670262,7
0.636112,9
0.716259,6
0.679766,13
0.851347,1
0.807971,1
0.766805,2
0.727736,3
0.690658,5
0.655469,8
0.622073,13
0.766662,1
0.727601,2
0.690529,3
0.655347,5
0.621957,8
0.590268,13
0.74711,6
0.709044,19
0.907211,1
0.860989,1
0.817121,1
0.775489,2
0.735978,3
0.69848,5
0.662892,8
0.629118,13
0.770993,21
0.857376,2
0.813692,21
0.772235,23
0.791248,5
0.750934,28
0.712674,33
0.755452,28
0.730023,35
