Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.19609,0.666667,0.333333
1,1.08936,0.669584,0.330646
2,0.990551,0.67282,0.32808
3,0.857822,0.678174,0.324436
4,0.699912,0.686236,0.319896
5,0.535629,0.698359,0.314286
6,0.37517,0.722145,0.30388
7,0.254185,0.754502,0.282978
8,0.165015,0.769682,0.270486
9,0.102514,0.794824,0.262195
10,0.0665613,0.813787,0.257059
11,0.044111,0.82443,0.250814
12,0.0297441,0.834812,0.245226
13,0.0231653,0.842195,0.24087
14,0.0192182,0.845178,0.238352
15,0.0166534,0.851163,0.234758
16,0.0134424,0.852339,0.233209
17,0.0132715,0.85922,0.229254
18,0.011319,0.859082,0.229225
19,0.00918514,0.860724,0.227477
20,0.0087024,0.864409,0.225327
21,0.00702206,0.865439,0.224404
22,0.00732195,0.870707,0.221745
23,0.00625087,0.870642,0.221734
24,0.00500295,0.871106,0.221084
25,0.00457131,0.873411,0.219569
26,0.00442828,0.878582,0.216822
27,0.00380365,0.878494,0.21681
28,0.00318703,0.878781,0.21619
29,0.00290549,0.880481,0.215003
30,0.00301964,0.885191,0.212789
31,0.00267491,0.885162,0.212785
32,0.00223457,0.885001,0.212734
33,0.00215094,0.884885,0.212634
34,0.00207544,0.885092,0.21243
35,0.00200173,0.885227,0.212266
36,0.00199871,0.88523,0.212266
