Tolerance,Required Steps
0.9,1
0.9,1
0.854145,1
0.810626,1
0.769325,1
0.730128,2
0.692928,2
0.657623,2
0.624117,3
0.592318,5
0.56214,8
0.533499,13
0.712209,16
0.765404,16
0.764639,17
0.777705,17
0.776927,22
0.826798,2
0.784673,19
0.744693,21
0.768239,16
0.729098,34
0.871644,1
0.827234,2
0.785086,3
0.745086,5
0.707124,8
0.671096,13
0.7968,21
0.873335,33
0.918476,16
0.871679,43
0.951301,2
0.902832,10
0.856833,12
0.879813,22
0.933509,34
0.956019,28
0.90731,39
0.93252,8
0.885008,47
0.979446,7
0.929544,54
0.989876,2
0.939442,45
0.964777,46
0.982287,7
