Iteration,rel. Discrepancy,Norm
0,1,0
1,0.981766,0.00676584
2,0.972146,0.0111157
3,0.956848,0.0204697
4,0.947723,0.0271706
5,0.939032,0.0349293
6,0.935353,0.0388376
7,0.931733,0.043446
8,0.927555,0.0499045
9,0.92574,0.0530419
10,0.920664,0.0629905
11,0.915779,0.0739075
12,0.910397,0.0874705
13,0.906879,0.0971469
14,0.90011,0.117309
15,0.897149,0.126594
16,0.892217,0.142556
17,0.884017,0.170404
18,0.878045,0.191495
19,0.874343,0.204855
20,0.869691,0.221983
21,0.863068,0.246856
22,0.853563,0.283383
23,0.843857,0.321386
24,0.829245,0.379505
25,0.819274,0.419418
