Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.19608,0,1
1,1.07995,0.0388127,0.990193
2,0.967578,0.071364,0.983123
3,0.805944,0.110336,0.976547
4,0.620422,0.146178,0.972734
5,0.487633,0.198485,0.951311
6,0.388146,0.270986,0.894868
7,0.267758,0.395488,0.840543
8,0.172919,0.490006,0.811971
9,0.142446,0.568472,0.794671
10,0.0851739,0.577154,0.786652
11,0.0498742,0.636988,0.759087
12,0.037452,0.664341,0.741378
13,0.0280469,0.676148,0.731453
14,0.0253592,0.695421,0.71795
15,0.0201145,0.694239,0.717748
16,0.0182841,0.710076,0.703447
17,0.0145294,0.716141,0.696655
18,0.013514,0.727823,0.685492
19,0.010723,0.72724,0.685385
20,0.00997924,0.739997,0.676965
21,0.0073649,0.741154,0.673497
22,0.0107556,0.766399,0.661774
23,0.0092833,0.766072,0.661763
24,0.00768869,0.765657,0.661718
25,0.00601367,0.765152,0.661607
26,0.00526576,0.764791,0.661467
27,0.00505556,0.764232,0.66119
28,0.00487306,0.76281,0.660479
29,0.00446067,0.762091,0.659039
30,0.00419309,0.762227,0.656096
31,0.00394045,0.762926,0.655341
32,0.00370277,0.769368,0.649899
33,0.0034335,0.769227,0.649865
34,0.00319136,0.770685,0.647834
35,0.00314135,0.770633,0.647823
36,0.00301008,0.773851,0.645362
37,0.0027958,0.774852,0.644046
38,0.00270605,0.7808,0.640245
39,0.0024766,0.780545,0.640204
40,0.00233285,0.783028,0.637855
41,0.0022935,0.783005,0.637853
42,0.00215714,0.783027,0.637385
43,0.00210144,0.78466,0.636011
44,0.002009,0.785455,0.635407
45,0.00200022,0.785454,0.635406
46,0.00199866,0.785454,0.635406
