Tolerance,Required Steps
0.9,1
0.9,1
0.854145,1
0.810626,1
0.769325,2
0.730128,3
0.692928,4
0.657623,4
0.624117,5
0.592318,5
0.56214,10
0.533499,15
0.68831,16
0.707083,20
0.764901,4
0.725929,24
0.688943,25
0.700684,31
0.757857,4
0.719245,35
0.682599,33
0.647821,68
0.82826,1
0.78606,3
0.746011,3
0.708001,6
0.671929,9
0.780505,15
0.867434,24
0.916229,32
0.936235,29
0.888534,42
0.922112,6
0.875131,48
0.983407,5
0.933302,51
0.885751,56
0.895055,69
0.913913,10
0.867349,79
0.982226,3
0.932181,49
0.926225,52
0.950775,55
0.994527,2
0.998892,1
