Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.19609,0.313133,1.31313
1,1.07883,0.303213,1.30002
2,0.964925,0.301785,1.2909
3,0.799702,0.308556,1.28286
4,0.612943,0.322093,1.27867
5,0.493461,0.329017,1.25357
6,0.402783,0.326056,1.18503
7,0.276845,0.417582,1.10762
8,0.178502,0.519734,1.06781
9,0.139218,0.603147,1.04544
10,0.0845526,0.620167,1.0324
11,0.0561934,0.671662,1.00587
12,0.0411965,0.695451,0.979373
13,0.0296436,0.702224,0.966656
14,0.0268314,0.730467,0.94808
15,0.0218429,0.728563,0.947787
16,0.0184326,0.735412,0.929648
17,0.0179944,0.75223,0.916109
18,0.0141205,0.751287,0.916013
19,0.0118432,0.751996,0.904996
20,0.0119307,0.766972,0.893512
21,0.00890444,0.765248,0.893163
22,0.0098927,0.780359,0.880707
23,0.00940424,0.780246,0.880703
24,0.00862879,0.779982,0.88069
25,0.00770952,0.779672,0.88065
26,0.00676217,0.779215,0.880521
27,0.00630672,0.779138,0.880351
28,0.00617153,0.7791,0.87997
29,0.00600408,0.779083,0.879165
30,0.00563091,0.780788,0.875858
31,0.00532096,0.783995,0.86994
32,0.00492727,0.783903,0.869787
33,0.00462272,0.790619,0.862501
34,0.00450423,0.790507,0.862493
35,0.00416057,0.790247,0.862318
36,0.00407207,0.789956,0.861859
37,0.00394958,0.791054,0.860116
38,0.00374855,0.793459,0.857135
39,0.00361303,0.793204,0.856658
40,0.00347059,0.799094,0.851057
41,0.00333193,0.799032,0.85105
42,0.00307415,0.799655,0.849646
43,0.00293426,0.802204,0.84687
44,0.00281316,0.809654,0.841285
45,0.00256861,0.809453,0.84125
46,0.00237127,0.811053,0.838376
47,0.00234411,0.811068,0.838375
48,0.00221625,0.810557,0.838114
49,0.00217165,0.811211,0.837524
50,0.00218766,0.816134,0.833927
51,0.00211011,0.816127,0.833925
52,0.00200209,0.816016,0.833902
53,0.00199885,0.816015,0.833902
