Tolerance,Required Steps
0.9,1
0.9,1
0.854145,1
0.810626,1
0.769325,2
0.730128,3
0.692928,4
0.657623,4
0.624117,4
0.592318,5
0.56214,9
0.533499,14
0.699406,15
0.718726,20
0.788256,4
0.748094,23
0.709979,27
0.752192,3
0.713868,30
0.677496,33
0.706108,8
0.670132,41
0.9347,1
0.887077,1
0.84188,2
0.798986,3
0.758278,5
0.719644,8
0.682978,13
0.804105,21
0.877853,34
0.923632,10
0.876573,44
0.970976,2
0.921505,11
0.874554,13
0.89296,24
0.941078,36
0.959758,22
0.910858,44
0.954474,3
0.905843,47
0.859691,50
0.867241,75
0.910583,7
0.864188,82
0.987418,2
0.937109,31
0.901521,33
0.920039,64
0.957811,2
0.946872,7
0.997957,1
