Iteration,rel. Discrepancy,Norm
0,1,0
1,0.998025,0.000315287
2,0.997008,0.000527693
3,0.995891,0.00087882
4,0.995143,0.00119227
5,0.99457,0.00150653
6,0.993992,0.00192195
7,0.993628,0.00223868
8,0.993397,0.0024655
9,0.992878,0.00304007
10,0.992557,0.00343987
11,0.992078,0.00410003
12,0.99177,0.00456613
13,0.991635,0.00478399
14,0.991351,0.00526356
15,0.991043,0.00582281
16,0.990811,0.00626457
17,0.990455,0.00698572
18,0.990023,0.0079348
19,0.989877,0.00826814
20,0.989558,0.009028
21,0.989134,0.010091
22,0.98873,0.0111462
23,0.988464,0.011862
24,0.988128,0.0127943
25,0.987814,0.0136847
26,0.987485,0.0146397
27,0.98722,0.0154241
28,0.987011,0.0160543
29,0.986537,0.0175092
30,0.985882,0.019585
31,0.98532,0.0214185
32,0.984688,0.0235376
33,0.984121,0.0254717
34,0.983659,0.0270734
35,0.983215,0.0286276
36,0.981656,0.0341929
37,0.980797,0.0373119
38,0.980071,0.0399758
39,0.978649,0.0452494
40,0.977686,0.0488566
41,0.977019,0.0513677
42,0.975973,0.055326
43,0.974582,0.0606177
44,0.973619,0.064298
45,0.971325,0.0731232
46,0.969346,0.0807782
47,0.968015,0.0859403
48,0.966861,0.0904268
49,0.964142,0.10102
50,0.961849,0.109972
51,0.960314,0.115979
52,0.957142,0.128393
53,0.955442,0.135055
54,0.952948,0.144812
55,0.951832,0.14918
56,0.948435,0.162472
57,0.945736,0.173027
58,0.943644,0.181194
59,0.940748,0.192496
60,0.939621,0.196895
61,0.936707,0.208249
62,0.935178,0.214207
63,0.933232,0.221779
64,0.929614,0.235836
