Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.21009,0.666667,0.333333
1,0.824862,0.673535,0.329188
2,0.556048,0.688053,0.328963
3,0.408579,0.693119,0.333427
4,0.443767,0.719599,0.33974
5,0.234347,0.720405,0.340253
6,0.869364,0.75458,0.364523
7,0.568888,0.760213,0.364308
8,0.404781,0.759569,0.36413
9,0.259337,0.758142,0.363928
10,0.194661,0.756315,0.362746
11,0.602442,0.765257,0.367302
12,0.355433,0.769376,0.367246
13,0.245588,0.768881,0.367294
14,0.16448,0.768062,0.367214
15,0.624253,0.774556,0.369848
16,0.485618,0.77837,0.369835
17,0.364822,0.77809,0.369842
18,0.232562,0.777671,0.369875
19,0.153737,0.776801,0.369794
20,1.1201,0.786516,0.371668
21,0.81511,0.791336,0.37164
22,0.552397,0.791,0.371566
23,0.373132,0.790719,0.371479
24,0.239692,0.790305,0.371307
25,0.173838,0.788317,0.370847
26,0.1481,0.788675,0.370856
27,0.137096,0.786922,0.370628
28,0.226507,0.78519,0.370071
29,0.167267,0.786355,0.370071
30,0.117096,0.786292,0.37008
31,0.503209,0.790045,0.370443
