Tolerance,Required Steps
0.7,1
0.7,2
0.8075,3
0.828083,4
0.827509,5
0.818907,7
0.827116,7
0.78576,12
0.831275,1
0.71074,21
0.936914,1
0.801062,18
0.9395,1
0.803273,27
0.943078,1
0.806332,1
0.766015,3
0.875905,3
0.83211,11
0.906501,13
0.874841,41
0.9123,1
0.780016,5
0.908203,5
0.862793,68
0.940416,1
0.804055,4
0.903463,4
0.85829,7
0.873072,15
0.893728,35
0.906732,1
0.775256,136
0.94843,1
0.810908,1
0.770362,2
0.840922,2
0.798876,4
0.854466,3
0.730569,5
0.796424,7
0.811859,9
0.810985,11
0.803084,7
0.686637,46
0.904699,1
0.773517,22
0.94022,3
0.803888,45
0.93758,1
0.801631,4
0.902887,20
0.931549,36
0.913873,3
0.781361,154
0.945954,1
0.80879,2
0.859175,2
0.816217,4
0.862703,16
0.917392,23
0.895407,141
0.933792,1
0.798392,3
0.886157,5
0.88511,109
0.944993,1
0.807969,110
0.948342,1
0.810832,3
0.890097,10
0.918678,121
0.943615,1
0.806791,3
0.888817,16
0.930196,99
0.939283,1
0.803087,217
0.949138,1
0.811513,2
0.860469,2
0.817445,3
0.834382,5
0.855598,11
0.887644,16
0.876618,198
0.940528,1
0.804152,3
0.887981,5
0.886149,202
0.947323,1
0.809961,3
0.889821,4
0.871497,34
0.935638,21
0.79997,753
0.9447,1
0.807719,2
0.858666,2
0.815733,3
0.833298,3
0.791633,4
0.801538,5
0.799169,8
0.830757,9
0.807083,14
0.832183,16
0.810502,2
0.692979,81
0.942798,1
0.806093,3
0.888596,10
0.91825,35
0.927811,1
0.793278,82
0.947605,1
0.810202,8
0.927462,14
0.910622,63
0.931131,1
0.796117,116
0.94833,1
0.810822,2
0.860141,3
0.861422,9
0.906117,31
0.924106,124
0.931975,1
0.796839,126
0.948468,1
0.81094,168
0.948931,1
0.811336,4
0.905192,10
0.913973,170
0.945193,1
0.80814,16
0.938608,172
0.944575,1
0.807611,137
0.948666,1
0.811109,1240
0.949855,1
0.812126,2
0.86076,2
0.817722,4
0.863418,4
0.820247,6
0.836156,6
0.794349,7
0.782541,10
0.80539,19
0.852695,29
0.858315,2
0.73386,193
0.94738,1
0.81001,4
0.904877,7
