Iteration,rel. Discrepancy,Norm
0,1,0
1,0.938804,0.00063437
2,0.916506,0.000944973
3,0.895317,0.0014244
4,0.876832,0.00201482
5,0.871187,0.00223338
6,0.858734,0.00288285
7,0.854105,0.00317498
8,0.853146,0.00324279
9,0.851291,0.00338129
10,0.841009,0.00448609
11,0.838161,0.00486054
12,0.836666,0.0050716
13,0.835523,0.00524584
14,0.833598,0.00555977
15,0.831622,0.00591548
16,0.830719,0.00608714
17,0.829031,0.00643363
18,0.828371,0.00658006
19,0.82763,0.00675325
20,0.827034,0.00690144
21,0.826723,0.00698017
22,0.826183,0.00712557
23,0.825117,0.00743999
24,0.82396,0.00782208
25,0.823808,0.00787572
26,0.823556,0.00796548
27,0.822817,0.00824671
28,0.822478,0.00838442
29,0.821634,0.00874285
30,0.820796,0.0091289
31,0.82034,0.00935005
32,0.81989,0.00958041
33,0.819441,0.00981781
34,0.819365,0.00985845
35,0.819202,0.00994684
36,0.818791,0.0101777
37,0.818334,0.0104508
38,0.818206,0.0105305
39,0.818026,0.0106433
40,0.817667,0.0108773
41,0.817488,0.0109978
42,0.817368,0.0110802
43,0.817077,0.01128
44,0.817036,0.0113095
45,0.816781,0.0115025
46,0.816722,0.0115483
47,0.81668,0.0115818
48,0.816623,0.0116258
49,0.816473,0.011747
50,0.816402,0.0118081
51,0.816358,0.0118455
52,0.816318,0.0118819
53,0.816246,0.0119472
54,0.816071,0.0121088
55,0.815854,0.0123242
56,0.815776,0.0124045
57,0.815722,0.0124626
58,0.815391,0.0128367
59,0.815232,0.0130269
60,0.815189,0.0130799
61,0.815141,0.0131388
62,0.814802,0.0135795
63,0.814454,0.0140669
64,0.814398,0.0141469
65,0.814279,0.0143233
66,0.814141,0.0145299
67,0.813981,0.0147809
68,0.813903,0.0149059
69,0.813812,0.0150535
70,0.813792,0.0150872
71,0.813663,0.0152982
72,0.813573,0.0154484
73,0.813535,0.0155134
74,0.813479,0.0156097
75,0.813402,0.0157438
76,0.813349,0.0158377
77,0.813313,0.0159022
78,0.813264,0.0159893
79,0.813137,0.0162209
80,0.813103,0.0162859
81,0.812996,0.0164867
82,0.812904,0.016666
83,0.812809,0.0168512
84,0.812682,0.0171054
85,0.812607,0.0172597
86,0.812563,0.0173502
87,0.812541,0.0173959
88,0.812426,0.017639
89,0.812382,0.0177334
90,0.812345,0.0178132
91,0.81232,0.017866
92,0.812225,0.0180761
93,0.812131,0.0182871
94,0.812086,0.0183895
95,0.812047,0.0184783
96,0.812029,0.0185205
97,0.811925,0.0187622
98,0.811782,0.0191075
99,0.811749,0.0191883
100,0.811706,0.0192962
101,0.811422,0.0200213
102,0.81132,0.020292
103,0.81128,0.0203997
104,0.811219,0.0205675
105,0.811176,0.0206853
106,0.811109,0.020871
107,0.810893,0.021485
108,0.810796,0.0217665
109,0.810731,0.0219578
110,0.810669,0.022143
111,0.810449,0.0228094
112,0.810238,0.0234703
113,0.81015,0.0237511
114,0.810007,0.0242089
115,0.809863,0.0246807
116,0.809792,0.0249148
117,0.809741,0.0250847
118,0.809603,0.025548
119,0.809544,0.0257483
120,0.809339,0.0264546
121,0.809179,0.0270103
122,0.809137,0.0271579
123,0.809045,0.0274835
124,0.808937,0.0278668
125,0.808823,0.0282735
126,0.808782,0.0284231
127,0.808711,0.0286793
128,0.808461,0.0295958
129,0.808413,0.0297703
130,0.808347,0.0300162
131,0.808214,0.0305129
132,0.808117,0.0308785
133,0.808011,0.0312784
134,0.807919,0.0316289
135,0.807781,0.0321574
136,0.807724,0.0323787
137,0.807597,0.0328705
