Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.21011,0.666667,0.333333
1,0.982197,2.32316,2.00136
2,1.39143,9.30372,2.86288
3,1.0213,2.94928,2.85771
4,0.944738,3.04286,2.88621
5,0.913842,3.10126,2.90984
6,0.828098,3.19638,2.93779
7,0.881567,3.20926,2.94614
8,1.06277,4.50464,2.88839
9,0.871745,3.14519,2.88603
10,0.86995,3.17783,2.88863
11,0.831283,3.24624,2.94293
12,0.984997,5.4258,3.24433
13,0.855916,3.62778,3.28801
14,0.917103,4.87928,3.28292
15,0.875654,3.68369,3.3351
16,0.788912,4.79904,3.52328
17,1.02937,4.0092,3.63869
18,0.84626,5.38261,3.99486
19,0.923841,4.64279,4.21046
20,0.922095,4.93143,4.41936
21,0.929913,5.02688,4.6149
22,0.940428,5.19076,4.81013
23,0.955482,5.39165,5.01495
24,0.963399,5.54849,5.20241
25,0.971137,5.73542,5.39852
26,0.987559,5.87136,5.56332
27,0.984747,6.02485,5.71623
28,0.98424,6.10951,5.79534
29,0.985119,6.19362,5.88104
30,0.986301,6.2901,5.98144
31,0.989797,6.3981,6.09124
32,0.992909,6.52921,6.22775
33,0.998332,6.66814,6.36786
34,1.00249,6.83612,6.53998
35,1.00609,6.99399,6.69964
36,1.00916,7.16173,6.8744
37,1.01478,7.36164,7.07748
38,1.01614,7.54277,7.26205
39,1.01803,7.75036,7.48077
40,1.01812,7.97401,7.71237
41,1.01971,8.18941,7.92813
42,1.0293,8.4142,8.15184
43,1.02462,8.70809,8.45863
44,1.02,8.93561,8.67682
45,1.01673,9.13029,8.85387
46,1.01082,9.29665,9.01356
47,1.00746,9.44713,9.15497
48,1.007,9.58817,9.29545
49,1.00503,9.73144,9.43924
50,1.00261,9.87789,9.58661
51,0.999962,10.028,9.73701
52,0.998367,10.1798,9.88716
53,0.997024,10.3308,10.0362
54,0.997398,10.4825,10.1906
55,0.993527,10.6408,10.3484
56,0.988883,10.8005,10.5072
57,0.986109,10.9599,10.6691
58,0.984661,11.1305,10.8526
59,0.982513,11.3147,11.0386
60,0.981212,11.5081,11.2442
61,0.979396,11.7146,11.4503
62,0.98081,11.9296,11.6905
63,0.974622,12.175,11.9187
64,0.987568,12.4381,12.1982
65,0.993352,12.7397,12.4769
66,1.00245,13.0726,12.8633
67,0.991325,13.3909,13.1596
68,0.998979,13.7242,13.5348
69,0.995033,14.0922,13.876
70,1.02836,14.5166,14.3712
71,0.998799,14.9542,14.7417
72,1.00926,15.3923,15.2429
73,0.99824,15.8533,15.5807
74,0.989161,16.2996,16.0107
75,0.981575,16.6604,16.3498
76,0.989103,17.042,16.7502
77,0.984929,17.5248,17.1838
78,0.97847,17.976,17.6118
79,0.974023,18.3672,18.0073
80,0.972644,18.6254,18.3019
81,0.973198,18.949,18.6323
82,0.979043,19.2806,19.0255
83,0.972764,19.7843,19.4807
84,0.974408,20.1532,19.9366
