Tolerance,Required Steps
0.7,1
0.7,1
0.5985,1
0.511717,1
0.437518,1
0.374078,1
0.319837,1
0.273461,1
0.233809,1
0.199907,1
0.17092,1
0.146137,1
0.124947,1
0.10683,1
0.0913393,1
0.0780951,1
0.0667713,1
0.0570895,1
0.0488115,1
0.0417338,1
0.0356824,1
0.0305085,1
0.0260847,1
0.0223024,1
0.0197218,1
0.0195647,1
0.0192394,1
0.0192943,1
0.0193042,1
0.019287,1
0.0192639,1
0.0191959,1
0.0191357,1
0.0190317,1
0.0189528,1
0.018885,1
0.0188275,1
0.0187232,1
0.0186982,1
0.0186636,1
0.0186618,1
0.0186327,1
0.0184592,1
0.0185434,1
0.0186274,1
0.0186874,1
0.0187967,1
0.0188593,1
0.018868,1
0.0189049,1
0.0189505,1
0.0190007,1
0.0190311,1
0.0190567,1
0.0190496,1
0.0191238,1
0.0192136,1
0.0192676,1
0.019296,1
0.0193382,1
0.0193638,1
0.0193997,1
0.0193717,1
0.0194947,1
0.0192392,1
0.0191272,1
0.0189536,1
0.0191663,1
0.0190194,1
0.0190948,1
0.0184759,1
0.0190228,1
0.0188257,1
0.0190335,1
0.0192082,1
0.0193566,1
0.0192093,1
0.0192907,1
0.0194181,1
0.0195067,1
0.0195344,1
0.0195233,1
0.0194067,1
