Iteration,rel. Discrepancy,Norm
0,1,0
1,0.939111,0.00422811
2,0.89009,0.00900447
3,0.878066,0.010884
4,0.871876,0.0123101
5,0.863436,0.0149061
6,0.855351,0.0180197
7,0.847177,0.0217498
8,0.84039,0.0252268
9,0.833349,0.0292564
10,0.827938,0.0326728
11,0.825209,0.0345646
12,0.821103,0.0375539
13,0.818595,0.039523
14,0.815568,0.042048
15,0.813361,0.0439989
16,0.811591,0.0456436
17,0.80879,0.0483928
18,0.805215,0.052188
19,0.801394,0.0565995
20,0.796935,0.0621539
21,0.793054,0.0673148
22,0.789357,0.0724279
23,0.783666,0.0806879
