Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.19811,0.666667,0.333333
1,0.753653,0.673931,0.329085
2,0.706605,0.674925,0.328557
3,0.620551,0.677186,0.327705
4,0.583432,0.678218,0.327425
5,0.516129,0.680214,0.326937
6,0.456198,0.683243,0.326246
7,0.427857,0.685539,0.326038
8,0.406787,0.688086,0.326085
9,0.378947,0.690219,0.326322
10,0.384488,0.69268,0.326692
11,0.363952,0.694981,0.326978
12,0.367288,0.697228,0.327201
13,0.329415,0.699161,0.327204
14,0.334892,0.700145,0.327378
15,0.337811,0.702204,0.327457
16,0.320099,0.704177,0.32747
17,0.323899,0.705485,0.327539
18,0.297727,0.70734,0.327422
19,0.302539,0.707691,0.327654
20,0.308001,0.709388,0.327829
21,0.2933,0.71148,0.327901
22,0.302112,0.712693,0.328092
23,0.282355,0.714994,0.327984
24,0.281719,0.715135,0.32825
25,0.28578,0.716469,0.328475
26,0.278044,0.71811,0.328579
27,0.285691,0.719017,0.328875
28,0.272064,0.72083,0.328833
29,0.273677,0.72103,0.329138
30,0.297858,0.722424,0.329596
31,0.280489,0.724923,0.329568
32,0.282648,0.725236,0.32989
33,0.288801,0.726517,0.330183
34,0.283479,0.728033,0.33035
35,0.308523,0.729032,0.330758
36,0.294948,0.731421,0.330684
37,0.286493,0.73145,0.330653
38,0.280904,0.73168,0.330658
39,0.283004,0.731916,0.330927
40,0.326579,0.733068,0.331289
41,0.311863,0.73565,0.331216
42,0.304435,0.735789,0.331263
43,0.299367,0.736188,0.331408
