Tolerance,Required Steps
0.9,1
0.9,1
0.854145,1
0.810626,1
0.769325,1
0.730128,1
0.692928,2
0.657623,2
0.624117,2
0.592318,4
0.56214,6
0.533499,10
0.719379,10
0.71866,14
0.798244,6
0.757573,16
0.908181,1
0.861909,4
0.817995,5
0.776318,9
0.736765,14
0.829946,20
0.880082,6
0.835241,23
0.956062,1
0.907351,6
0.861122,7
0.88008,13
0.934492,19
0.954224,13
0.905606,19
0.934479,5
0.886868,24
0.841682,29
0.868109,36
0.892861,12
0.847369,48
0.960881,1
0.911924,4
0.865461,5
0.821366,9
0.779517,14
0.857403,23
0.912289,37
0.944531,40
0.947743,45
0.952595,27
0.904061,55
0.95195,1
0.903448,17
0.857417,18
0.864473,35
0.92937,53
0.952404,65
0.96023,41
0.911306,68
0.945576,2
0.897399,65
0.851677,67
0.855248,132
0.925601,1
0.878442,7
0.833685,8
0.85362,15
0.921009,23
0.947535,38
0.967277,61
0.978635,80
0.982726,35
0.932656,115
0.978524,1
0.928669,8
0.881353,9
0.893641,17
0.942749,26
0.961604,43
0.975807,69
0.983938,61
0.933807,130
0.967971,1
0.918653,3
0.871848,4
0.827427,7
0.78527,11
0.86249,18
0.91505,29
0.946325,47
0.965915,76
0.977942,123
0.985384,3
0.935179,126
0.887532,129
0.889257,255
0.943033,2
0.894986,64
0.849386,66
0.853096,130
0.924493,196
0.948969,326
0.968349,2
0.919012,283
0.872188,285
0.872212,2
0.827773,68
0.785598,70
0.790932,138
0.893057,1
0.847556,1
0.804373,2
0.76339,3
0.724495,5
0.687582,8
0.65255,13
0.785398,21
0.866284,34
0.916493,55
0.947429,2
0.899158,57
0.853346,59
0.857459,113
0.92465,1
0.877539,1
0.832829,1
0.790396,1
0.750125,2
0.711906,3
0.675635,5
0.641211,8
0.608542,13
0.758343,21
0.849553,34
0.90617,55
0.941054,1
0.893107,2
0.847603,3
0.804418,5
0.763433,8
0.724536,13
0.829653,21
0.893653,34
0.933381,2
0.885825,36
0.840692,38
0.848228,62
0.906071,1
0.859907,3
0.816095,4
0.774515,7
0.735053,11
0.830566,18
0.895561,29
0.93424,47
0.958465,1
0.909632,48
0.863286,49
0.86521,91
0.926493,1
0.879288,1
0.834489,1
0.791972,1
