Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.45804,0.666667,0.333333
1,1.30388,0.673034,0.327504
2,1.1679,0.67972,0.322259
3,0.98709,0.69043,0.315156
4,0.784321,0.705851,0.306702
5,0.57789,0.72749,0.296822
6,0.3973,0.761869,0.280489
7,0.270143,0.796234,0.258204
8,0.174113,0.825642,0.241296
9,0.113738,0.84014,0.234063
10,0.0671389,0.861119,0.226971
11,0.0453158,0.870497,0.220014
12,0.0308056,0.878215,0.214234
13,0.0226282,0.883326,0.210445
14,0.0201213,0.883641,0.209884
15,0.0199903,0.883656,0.209866
