Iteration,rel. Discrepancy,Norm
0,1,0
1,0.998075,0.000259683
2,0.99679,0.000474955
3,0.99619,0.000616658
4,0.995781,0.00075436
5,0.995483,0.000885182
6,0.995098,0.00109734
7,0.994732,0.00134419
8,0.99452,0.00150992
9,0.994213,0.00177938
10,0.993811,0.00216595
11,0.993586,0.00239856
12,0.993018,0.00303125
13,0.992452,0.00371084
14,0.991918,0.00439202
15,0.991485,0.00496642
16,0.991059,0.00555102
17,0.990663,0.00610474
18,0.990356,0.00654679
19,0.98991,0.00720366
20,0.989666,0.00757192
21,0.989529,0.00778255
