Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.45549,0.666667,0.333333
1,0.960697,0.681191,0.323709
2,0.616429,0.705965,0.313628
3,0.475301,0.727916,0.304121
4,0.288386,0.76642,0.280614
5,0.193958,0.783019,0.267273
6,0.109345,0.814913,0.256352
7,0.0711459,0.824432,0.251429
8,0.0512318,0.838732,0.246359
9,0.0422893,0.83818,0.246006
10,0.0336351,0.845024,0.2419
11,0.025325,0.851815,0.236715
12,0.0228238,0.853232,0.235121
13,0.0212408,0.855331,0.233164
14,0.020123,0.855389,0.233107
15,0.0200149,0.855405,0.233095
16,0.0199767,0.855401,0.233087
