Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.205061,0.666667,0.333333
1,0.106117,0.674633,0.328951
2,0.068932,0.683973,0.324043
3,0.0346737,0.714193,0.308785
4,0.0163022,0.730932,0.302288
5,0.00686746,0.750038,0.294287
6,0.00470382,0.753144,0.291604
7,0.00281914,0.763529,0.288308
8,0.00209725,0.764958,0.286422
9,0.00156564,0.77086,0.284597
10,0.00118428,0.773073,0.282921
11,0.000923962,0.777532,0.281328
12,0.000713843,0.780355,0.279808
13,0.000563323,0.783387,0.278375
14,0.000454758,0.786261,0.277147
15,0.000373905,0.788946,0.276032
16,0.000308441,0.791474,0.274847
17,0.00025702,0.794105,0.273675
18,0.000218828,0.796583,0.272552
19,0.000191878,0.79694,0.272341
