Iteration,rel. Discrepancy,Norm
0,1,0
1,0.993749,0.000579088
2,0.99024,0.00109394
3,0.987534,0.00169581
4,0.979462,0.00411336
5,0.973177,0.0062946
6,0.96995,0.00754314
7,0.9624,0.0109754
8,0.958721,0.0128338
9,0.956507,0.0140251
10,0.952431,0.0163413
11,0.950584,0.017436
12,0.945143,0.020852
13,0.941973,0.0229565
14,0.935017,0.0279591
15,0.932791,0.0296527
16,0.929972,0.031858
17,0.929506,0.0322302
18,0.92747,0.0339029
19,0.925395,0.0356623
20,0.922641,0.0381208
21,0.920813,0.0398216
22,0.918949,0.0416398
23,0.918388,0.0422006
24,0.916945,0.0436755
25,0.916508,0.044131
26,0.913926,0.0469376
27,0.911556,0.0496806
28,0.910616,0.0508185
29,0.909674,0.0519916
30,0.909241,0.0525395
31,0.908595,0.053369
32,0.907223,0.0551986
33,0.905683,0.0573625
34,0.903739,0.0602109
35,0.901823,0.0631377
36,0.900894,0.064616
37,0.900101,0.065899
38,0.898682,0.0682415
39,0.897507,0.070228
40,0.897108,0.0709131
41,0.895852,0.0731131
42,0.894317,0.0758838
43,0.894025,0.0764215
44,0.89235,0.0795667
45,0.888992,0.086199
46,0.887373,0.0895123
47,0.886417,0.0915131
48,0.885563,0.0933293
49,0.884796,0.0949672
50,0.883144,0.0985591
51,0.880694,0.104014
52,0.877655,0.110968
53,0.875245,0.116617
54,0.874186,0.119125
55,0.87234,0.123552
56,0.869992,0.129254
57,0.868996,0.131697
58,0.86302,0.146616
59,0.858195,0.158891
60,0.856094,0.164321
61,0.852405,0.17391
62,0.848468,0.184168
63,0.846389,0.18961
64,0.843153,0.198136
65,0.837463,0.213214
66,0.829106,0.235428
67,0.828207,0.237828
68,0.821623,0.255376
69,0.817652,0.265962
70,0.815627,0.271366
71,0.803018,0.304937
72,0.797839,0.318696
73,0.794147,0.328477
74,0.782263,0.359845
