Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.434138,0.871205,0.431626
1,0.390964,0.874145,0.430187
2,0.352115,0.877,0.428905
3,0.301216,0.881113,0.427242
4,0.244788,0.886369,0.425391
5,0.188887,0.892833,0.423443
6,0.13779,0.901781,0.421102
7,0.0950872,0.91437,0.416512
8,0.061695,0.913365,0.413703
9,0.0387372,0.917925,0.411128
10,0.0228373,0.915481,0.40819
11,0.0128531,0.915402,0.406242
12,0.00685678,0.916448,0.405176
13,0.00365062,0.916687,0.404273
14,0.00200207,0.916975,0.403468
15,0.001998,0.916975,0.403468
