Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.434138,0.871205,0.431626
1,0.390964,0.874144,0.430188
2,0.352115,0.876998,0.428907
3,0.301217,0.88111,0.427245
4,0.244788,0.886366,0.425394
5,0.188887,0.892831,0.423447
6,0.137792,0.901779,0.421107
7,0.0951184,0.914311,0.416532
8,0.0617183,0.913353,0.413705
9,0.0387538,0.917863,0.411131
10,0.0228463,0.91549,0.408197
11,0.0128583,0.915353,0.406248
12,0.00689035,0.916324,0.405169
13,0.00366556,0.91658,0.404302
14,0.00267375,0.916585,0.403836
15,0.00199891,0.917003,0.403545
