Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.283656,0.956757,0.136549
1,0.255186,0.9598,0.133354
2,0.229591,0.962628,0.130461
3,0.195951,0.966523,0.126631
4,0.158618,0.971129,0.122235
5,0.121707,0.97606,0.117401
6,0.0882148,0.980718,0.111516
7,0.0607094,0.982656,0.101936
8,0.0400468,0.986757,0.0908871
9,0.0248768,0.99185,0.0772482
10,0.0148004,0.994135,0.0670342
11,0.00832855,0.996295,0.0588787
12,0.00442904,0.997614,0.0528474
13,0.00318919,0.997989,0.0500521
14,0.00237442,0.998418,0.047592
15,0.00199842,0.998656,0.04634
