Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.283656,0.871205,0.431626
1,0.255093,0.875198,0.43043
2,0.229442,0.878879,0.429352
3,0.195713,0.883955,0.42791
4,0.158268,0.889991,0.426162
5,0.121136,0.896186,0.423887
6,0.0883988,0.895363,0.420792
7,0.060583,0.901337,0.414298
8,0.0399378,0.904432,0.408736
9,0.0249513,0.91043,0.403937
10,0.0149779,0.915782,0.398125
11,0.00882476,0.91737,0.392389
12,0.00650584,0.918726,0.389314
13,0.00527975,0.91963,0.386511
14,0.00434346,0.92052,0.383403
15,0.00369916,0.921761,0.380361
16,0.00322566,0.922379,0.377747
17,0.0028277,0.923592,0.37457
18,0.00250583,0.924398,0.37152
19,0.00222979,0.925686,0.368272
20,0.00204712,0.926212,0.366022
21,0.0019978,0.926321,0.365894
