Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.283656,0.871205,0.431626
1,0.255093,0.8752,0.430431
2,0.229442,0.878882,0.429353
3,0.195713,0.883958,0.427912
4,0.158268,0.889987,0.426165
5,0.121138,0.896156,0.423895
6,0.0883936,0.895343,0.420804
7,0.0606325,0.901266,0.414338
8,0.0399928,0.903825,0.408681
9,0.0249657,0.910788,0.403872
10,0.0148805,0.915694,0.398103
11,0.00906345,0.917129,0.392619
12,0.00653894,0.918641,0.389345
13,0.00509675,0.920149,0.385855
14,0.00422004,0.920707,0.382946
15,0.00359441,0.922038,0.379647
16,0.00314355,0.922488,0.377284
17,0.00277365,0.924023,0.373843
18,0.00246883,0.924385,0.371401
19,0.00224156,0.925671,0.368476
20,0.00205903,0.926132,0.36608
21,0.00199791,0.926282,0.365883
