Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.283656,0.956757,0.136549
1,0.255188,0.959794,0.133364
2,0.229592,0.962617,0.130479
3,0.195952,0.966505,0.126663
4,0.158615,0.971104,0.122287
5,0.121696,0.976027,0.11748
6,0.0881856,0.980701,0.111634
7,0.060669,0.98269,0.102105
8,0.0400312,0.986726,0.0911209
9,0.024859,0.991996,0.0772907
10,0.0147936,0.994166,0.0670525
11,0.00821248,0.996713,0.0581389
12,0.00439451,0.99766,0.0522905
13,0.0032055,0.998075,0.0502069
14,0.00240305,0.998375,0.0471909
15,0.00199758,0.99872,0.0467437
