Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.282626,0.956757,0.136549
1,0.254298,0.959708,0.13345
2,0.228825,0.962452,0.130651
3,0.195367,0.966229,0.126962
4,0.158255,0.970696,0.122755
5,0.121585,0.975489,0.118183
6,0.0883725,0.980094,0.11275
7,0.0607823,0.981874,0.104169
8,0.0401145,0.986152,0.0947077
9,0.0249795,0.989904,0.085276
10,0.0148382,0.99257,0.0769325
11,0.00832874,0.994382,0.0714015
12,0.00444384,0.995577,0.0670155
13,0.00319669,0.995694,0.0654551
14,0.00238013,0.995838,0.0640842
15,0.00199801,0.996012,0.0635502
