Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.282626,0.871205,0.431626
1,0.254211,0.875123,0.430452
2,0.228688,0.878736,0.429397
3,0.195152,0.88371,0.427991
4,0.157953,0.889612,0.426304
5,0.121135,0.895708,0.42416
6,0.0883709,0.895911,0.421274
7,0.061436,0.90057,0.415402
8,0.040367,0.905412,0.409621
9,0.0252631,0.909154,0.404827
10,0.0150391,0.915041,0.399587
11,0.00850483,0.916293,0.394656
12,0.0062659,0.917652,0.392789
13,0.00488813,0.918017,0.390905
14,0.00388957,0.918835,0.389634
15,0.00309268,0.92005,0.387903
16,0.00257471,0.920174,0.38714
17,0.00218984,0.920989,0.386135
18,0.00199793,0.920978,0.385835
