Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.282626,0.871205,0.431626
1,0.254211,0.875125,0.430453
2,0.228688,0.878739,0.429397
3,0.195152,0.883714,0.427992
4,0.157953,0.889611,0.426306
5,0.121136,0.895684,0.424166
6,0.0883688,0.895887,0.421286
7,0.0613212,0.900658,0.415399
8,0.0403048,0.905381,0.409604
9,0.025229,0.909086,0.404866
10,0.0150168,0.91494,0.399664
11,0.00894956,0.915988,0.394896
12,0.00659416,0.917644,0.393158
13,0.00514217,0.917895,0.391304
14,0.00409187,0.918973,0.38983
15,0.00331354,0.91952,0.388484
16,0.00272196,0.919883,0.3873
17,0.00235549,0.920543,0.386615
18,0.0020358,0.920993,0.385643
19,0.001998,0.920999,0.385641
