Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.282626,0.956757,0.136549
1,0.254299,0.959703,0.133459
2,0.228827,0.962442,0.130669
3,0.195368,0.966212,0.126993
4,0.158253,0.970672,0.122804
5,0.121576,0.975459,0.118257
6,0.0883501,0.980075,0.11286
7,0.0607372,0.981915,0.104336
8,0.0401162,0.986081,0.0949597
9,0.0249777,0.990004,0.0855123
10,0.014844,0.992563,0.0773376
11,0.0084517,0.994368,0.071385
12,0.00449495,0.995491,0.0673964
13,0.00302557,0.995873,0.0653467
14,0.00226284,0.995921,0.0643749
15,0.00199798,0.995981,0.0640978
