Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.17954,0.666667,0.333333
1,1.06795,0.669069,0.33114
2,0.964237,0.672506,0.328421
3,0.824911,0.679277,0.323822
4,0.664281,0.690967,0.317029
5,0.50164,0.708256,0.308279
6,0.353065,0.733115,0.297166
7,0.222655,0.767089,0.277036
8,0.162126,0.787991,0.260901
9,0.0999836,0.804357,0.254445
10,0.0596333,0.829565,0.245708
11,0.0342589,0.845639,0.233821
12,0.0202001,0.860336,0.222091
13,0.0136107,0.868976,0.216094
14,0.00953078,0.877681,0.211701
15,0.00710756,0.880714,0.208813
16,0.00552593,0.885437,0.206223
17,0.00446817,0.888494,0.20332
18,0.00371542,0.891237,0.200743
19,0.00315961,0.893355,0.198503
20,0.00273041,0.895023,0.196664
21,0.00239134,0.896811,0.195051
22,0.0021149,0.898355,0.193577
23,0.00199768,0.898723,0.193342
