Iteration,rel. Discrepancy,Norm
0,1,0
1,0.9915,0.0039931
2,0.986962,0.00634151
3,0.977433,0.0121302
4,0.969774,0.0174979
5,0.966822,0.0197899
6,0.958768,0.027072
7,0.955089,0.030897
8,0.951892,0.0345916
9,0.948346,0.0391032
10,0.9459,0.0424731
11,0.943285,0.0463891
12,0.942026,0.0484086
13,0.939784,0.0522341
14,0.936394,0.0585239
15,0.933461,0.0644366
16,0.930657,0.0705017
17,0.928592,0.0752188
18,0.926501,0.0801995
19,0.923166,0.0885646
20,0.920026,0.0968874
21,0.918969,0.0997811
22,0.917103,0.105005
23,0.914404,0.112797
24,0.910541,0.124372
25,0.903334,0.146984
26,0.888947,0.194474
27,0.874691,0.242878
28,0.857182,0.302834
