Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.17954,0.666667,0.333333
1,1.0555,0.672695,0.327826
2,0.945616,0.679438,0.322529
3,0.799873,0.690458,0.315165
4,0.639156,0.705969,0.306525
5,0.482774,0.725762,0.29732
6,0.342355,0.751467,0.287172
7,0.217831,0.794699,0.262395
8,0.155569,0.812435,0.240819
9,0.0930845,0.83626,0.233662
10,0.0556333,0.854478,0.226771
11,0.0343382,0.868741,0.220005
12,0.0218818,0.878176,0.211447
13,0.0147914,0.886424,0.203448
14,0.0117516,0.890468,0.199171
15,0.00882236,0.895975,0.19522
16,0.00780494,0.898297,0.193417
17,0.00653746,0.901461,0.19112
18,0.00594223,0.902913,0.189792
19,0.00511819,0.905226,0.187923
20,0.00448941,0.907085,0.186328
21,0.00396522,0.908775,0.184911
22,0.00354608,0.910264,0.183654
23,0.00316821,0.911709,0.182416
24,0.00296119,0.912627,0.181646
25,0.00262539,0.914206,0.180282
26,0.00249994,0.914825,0.179674
27,0.00225838,0.916159,0.178473
28,0.00216741,0.916693,0.177952
29,0.00199764,0.917776,0.176899
