Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.17954,0,1
1,1.0609,0.0366615,0.992008
2,0.95444,0.0730588,0.984
3,0.814632,0.127458,0.972267
4,0.658487,0.200186,0.95613
5,0.500786,0.294226,0.932606
6,0.348042,0.419512,0.880033
7,0.233196,0.45866,0.82135
8,0.144804,0.532484,0.785623
9,0.0872735,0.630043,0.756183
10,0.0560334,0.659211,0.726168
11,0.0332431,0.69127,0.694894
12,0.0197269,0.726162,0.664277
13,0.0134349,0.747012,0.647085
14,0.00961637,0.763965,0.636106
15,0.00726722,0.771973,0.627527
16,0.00580922,0.781539,0.620001
17,0.00480901,0.785062,0.61255
18,0.00406324,0.789143,0.605002
19,0.00345982,0.793158,0.598771
20,0.00297462,0.796213,0.593079
21,0.00259078,0.799884,0.588612
22,0.00229344,0.803189,0.584585
23,0.00205703,0.805852,0.581022
24,0.00199797,0.805831,0.580933
