Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.17953,0.313133,1.31313
1,1.06007,0.305325,1.30245
2,0.95332,0.303506,1.292
3,0.813512,0.311973,1.27693
4,0.65794,0.341019,1.25633
5,0.500982,0.400491,1.22567
6,0.348638,0.485518,1.15401
7,0.230653,0.492739,1.07891
8,0.132567,0.583409,1.02437
9,0.082167,0.670086,0.987657
10,0.0478092,0.697205,0.945603
11,0.0290537,0.728962,0.902369
12,0.0208799,0.742062,0.87516
13,0.0154414,0.764958,0.85805
14,0.0120439,0.772779,0.845711
15,0.00955698,0.787932,0.835509
16,0.00769682,0.793331,0.827123
17,0.00649646,0.800533,0.82068
18,0.00546136,0.804855,0.81259
19,0.00471235,0.807562,0.804512
20,0.00413646,0.810009,0.797594
21,0.00365612,0.811652,0.790938
22,0.0032541,0.813132,0.785151
23,0.00293429,0.815766,0.780615
24,0.00265925,0.817144,0.776131
25,0.00242387,0.819857,0.772476
26,0.00220654,0.821838,0.768009
27,0.00202442,0.824622,0.764525
28,0.001998,0.824639,0.764494
