Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.17955,0.313133,1.31313
1,1.04902,0.293862,1.28631
2,0.93652,0.291989,1.26462
3,0.788475,0.311613,1.23813
4,0.627566,0.359636,1.21061
5,0.472062,0.434455,1.18218
6,0.319853,0.552603,1.11061
7,0.21463,0.558952,1.00463
8,0.134274,0.629494,0.944101
9,0.0803968,0.705527,0.908994
10,0.0474135,0.75883,0.879007
11,0.0273491,0.784634,0.840058
12,0.0182821,0.796263,0.80817
13,0.0127798,0.807507,0.784007
14,0.00999862,0.818356,0.769803
15,0.00737895,0.830511,0.753143
16,0.00640137,0.834256,0.745341
17,0.00525636,0.840183,0.736012
18,0.0045985,0.843808,0.729986
19,0.00381088,0.849134,0.722113
20,0.00340098,0.852049,0.717194
21,0.0028772,0.856652,0.709982
22,0.00258677,0.859067,0.705003
23,0.00220571,0.862858,0.697396
24,0.00202193,0.864584,0.692846
25,0.00199798,0.864846,0.692191
