Iteration,rel. Discrepancy,Norm
0,1,0
1,0.991139,0.00453039
2,0.989064,0.00565766
3,0.986971,0.00693686
4,0.982446,0.0102159
5,0.979245,0.0131214
6,0.975657,0.0170483
7,0.972243,0.0213122
8,0.969439,0.0252008
9,0.966084,0.0303923
10,0.965141,0.0319541
11,0.960925,0.0393852
12,0.958528,0.0438943
13,0.956093,0.0487115
14,0.95366,0.0537823
15,0.947845,0.066784
16,0.94441,0.0749079
17,0.94099,0.0832988
18,0.933135,0.103334
19,0.92637,0.121079
20,0.891721,0.214005
21,0.867211,0.279223
22,0.849973,0.324415
23,0.810618,0.425421
