Iteration,rel. Discrepancy,Norm
0,1,0
1,0.999619,0.000791767
2,0.999037,0.00174601
3,0.998251,0.0032268
4,0.99686,0.0057113
5,0.995845,0.00769301
6,0.991589,0.0153927
7,0.988193,0.0214568
8,0.985893,0.0256101
9,0.982297,0.0316711
10,0.973497,0.0472659
11,0.971881,0.0501791
12,0.967239,0.0582996
13,0.964033,0.0636162
14,0.958913,0.0719916
15,0.956711,0.0755409
16,0.948258,0.0887468
17,0.946107,0.0920544
18,0.937873,0.10465
19,0.936301,0.107148
20,0.931801,0.114219
21,0.92965,0.117616
22,0.928348,0.119735
23,0.92211,0.129994
24,0.919442,0.134241
25,0.91829,0.13616
26,0.916865,0.138618
27,0.913408,0.144685
28,0.91107,0.148695
29,0.908381,0.153443
30,0.90557,0.158441
31,0.90339,0.162449
32,0.89744,0.17317
33,0.894158,0.179086
34,0.892262,0.182539
