Tolerance,Required Steps
0.7,6
0.7,4
0.5985,14
0.511717,8
0.437518,14
0.644653,2
0.551178,9
0.471257,19
0.712066,2
0.608816,7
0.520538,18
0.772865,1
0.6608,3
0.564984,17
0.483061,12
0.413017,29
0.719255,1
0.614963,3
0.525793,14
0.449553,19
0.564687,3
0.482808,24
0.412801,7
0.352945,42
0.84755,1
0.724655,1
0.61958,4
0.529741,12
0.452928,16
0.560211,3
0.478981,28
0.409529,5
0.350147,43
0.299376,10
0.255966,54
0.819105,1
0.700335,1
0.598786,4
0.511962,11
0.437728,17
0.604368,2
0.516735,22
0.441808,9
0.377746,42
0.823327,1
0.703944,1
0.601873,4
0.514601,15
0.439984,24
0.61749,2
0.527954,20
0.451401,19
0.385948,31
0.592463,2
0.506556,6
0.433105,32
0.849022,1
0.725914,1
0.620656,5
0.530661,21
0.453715,16
0.387927,31
0.649887,1
0.555653,3
0.475083,16
0.406196,25
0.588967,1
0.503567,10
0.43055,26
0.741932,1
0.634352,3
0.542371,15
0.463727,21
0.5861,2
0.501116,21
0.428454,13
0.366328,34
0.719828,1
0.615453,1
0.526212,5
0.449912,23
0.384674,23
0.365441,22
0.312452,29
0.454491,2
0.38859,23
0.332244,24
0.342064,20
0.292465,31
0.516349,2
0.441479,8
0.377464,26
0.768028,1
0.656664,2
0.561448,7
0.480038,22
0.79283,1
0.677869,2
0.579578,15
0.495539,19
0.571655,3
0.488765,27
0.417894,6
0.357299,43
0.864805,1
0.739408,1
0.632194,2
0.540526,10
0.46215,25
0.745617,2
0.637502,3
0.545065,23
0.46603,20
0.398456,31
0.581312,2
0.497021,9
0.424953,29
0.78046,1
0.667294,2
0.570536,7
0.487808,25
0.813757,1
0.695762,2
0.594877,8
0.50862,22
0.78025,2
0.667114,2
0.570383,21
