Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.20646,0.666667,0.333333
1,0.754706,0.674053,0.329116
2,0.703036,0.675209,0.32836
3,0.689734,0.675594,0.328133
4,0.635697,0.676655,0.327593
5,0.58626,0.678368,0.326903
6,0.536438,0.679074,0.326721
7,0.472688,0.679821,0.326693
8,0.409507,0.680579,0.32685
9,0.373385,0.681254,0.327224
10,0.339933,0.681692,0.327495
11,0.314696,0.682162,0.328019
12,0.300788,0.682635,0.328617
13,0.275382,0.682991,0.328901
14,0.251322,0.683318,0.329508
15,0.240208,0.683719,0.329877
16,0.236328,0.684018,0.330515
17,0.22792,0.684478,0.330697
18,0.225269,0.684669,0.331154
19,0.219152,0.685103,0.331327
20,0.218924,0.685282,0.331745
21,0.213889,0.685822,0.331865
22,0.21491,0.685954,0.332215
23,0.209478,0.686514,0.332291
24,0.214181,0.686568,0.332613
25,0.205815,0.687245,0.332604
26,0.212026,0.687168,0.332839
27,0.205765,0.687735,0.332834
28,0.206506,0.687699,0.33292
29,0.209319,0.687896,0.33306
30,0.208676,0.688251,0.333159
31,0.215076,0.688435,0.333353
32,0.206459,0.6891,0.333348
33,0.215926,0.688945,0.333559
34,0.206048,0.689715,0.333549
35,0.204921,0.689676,0.333596
36,0.208679,0.689758,0.333726
37,0.20896,0.690199,0.333796
38,0.21811,0.690317,0.333972
39,0.207851,0.690998,0.33396
40,0.221337,0.690761,0.334172
41,0.226407,0.691378,0.334312
42,0.222154,0.691955,0.334381
43,0.230068,0.691997,0.334574
44,0.217521,0.692904,0.334564
45,0.221315,0.692742,0.3347
46,0.22788,0.693052,0.334855
47,0.221705,0.693726,0.334892
48,0.23513,0.693605,0.335093
49,0.222478,0.694545,0.335088
50,0.214657,0.69454,0.335087
51,0.210367,0.694558,0.335092
52,0.209793,0.694556,0.335143
53,0.203096,0.694702,0.335142
54,0.207685,0.694651,0.335186
55,0.211029,0.694736,0.335234
56,0.213641,0.694845,0.335283
57,0.212758,0.694988,0.335306
58,0.227941,0.694886,0.335468
59,0.21859,0.695466,0.335466
60,0.210892,0.695467,0.335466
61,0.207063,0.695471,0.335465
62,0.20496,0.695477,0.335467
63,0.205111,0.695487,0.335479
64,0.208734,0.695494,0.335517
65,0.220372,0.695465,0.335639
66,0.21558,0.69585,0.335638
67,0.211836,0.695852,0.335638
68,0.209396,0.695863,0.335639
69,0.209895,0.695873,0.335647
70,0.214385,0.695883,0.335673
71,0.218741,0.69593,0.335699
72,0.214446,0.696005,0.335702
73,0.223672,0.695972,0.335757
74,0.236301,0.696043,0.33583
75,0.229621,0.696263,0.335832
76,0.246308,0.696197,0.335924
77,0.254991,0.696418,0.335982
78,0.271697,0.696487,0.336086
79,0.259724,0.696823,0.336086
80,0.249285,0.696826,0.33609
81,0.241366,0.696835,0.336095
82,0.238374,0.696843,0.336109
83,0.241772,0.696861,0.336132
84,0.255285,0.696877,0.336196
85,0.248501,0.696974,0.3362
86,0.268719,0.696957,0.336281
87,0.270629,0.697092,0.3363
88,0.299488,0.697079,0.336438
89,0.286497,0.697402,0.336437
90,0.276376,0.69741,0.336437
91,0.267601,0.697419,0.336438
92,0.25954,0.697423,0.336445
93,0.253611,0.697435,0.336452
94,0.252051,0.697452,0.336467
95,0.257863,0.697487,0.336495
96,0.275185,0.697526,0.336576
97,0.263495,0.697636,0.336582
98,0.258883,0.697646,0.336597
99,0.260402,0.697679,0.336623
100,0.27344,0.697721,0.3367
101,0.260104,0.69784,0.336707
102,0.251748,0.697848,0.33672
103,0.248119,0.697868,0.336745
104,0.255994,0.697909,0.33681
105,0.24485,0.698011,0.336818
106,0.25453,0.698017,0.336891
107,0.267044,0.698114,0.336996
108,0.252547,0.698281,0.337008
109,0.262789,0.698279,0.33713
110,0.274538,0.69843,0.337281
111,0.256301,0.698659,0.337305
112,0.27687,0.698662,0.33752
113,0.281173,0.698943,0.337691
114,0.309756,0.699136,0.337964
115,0.280288,0.699547,0.337988
116,0.265525,0.699546,0.338071
117,0.263352,0.699605,0.338184
118,0.264832,0.699707,0.338307
119,0.265259,0.699829,0.338428
120,0.269184,0.69995,0.338568
121,0.27101,0.700095,0.338709
122,0.274573,0.700235,0.338865
123,0.276974,0.700395,0.33903
124,0.280339,0.700558,0.339204
125,0.285859,0.700731,0.339394
126,0.2862,0.700916,0.339566
127,0.317164,0.701093,0.339909
128,0.292778,0.701473,0.339954
129,0.286657,0.701484,0.340106
130,0.297653,0.701612,0.34036
131,0.284441,0.701838,0.340459
132,0.311738,0.701951,0.340839
133,0.315002,0.70233,0.341147
134,0.351429,0.702636,0.341643
135,0.316596,0.703148,0.341709
136,0.326916,0.703193,0.342115
137,0.355977,0.703564,0.342646
138,0.322329,0.704081,0.342756
139,0.349428,0.704196,0.343333
140,0.367616,0.704755,0.343941
141,0.367591,0.705348,0.34446
142,0.40646,0.705868,0.345242
143,0.364774,0.706652,0.345348
144,0.38582,0.706763,0.346036
145,0.402439,0.70739,0.346667
146,0.40176,0.707979,0.347183
147,0.447846,0.708484,0.348024
148,0.408062,0.709308,0.348141
149,0.39717,0.709374,0.348527
150,0.419482,0.709698,0.349191
151,0.390068,0.710251,0.349327
152,0.393813,0.710395,0.349905
153,0.428201,0.710941,0.350485
154,0.422463,0.7115,0.350651
155,0.468101,0.711663,0.351185
156,0.473433,0.712141,0.351635
157,0.493446,0.712581,0.352342
158,0.443594,0.713215,0.3525
159,0.471584,0.713429,0.353367
