Iteration,rel. Discrepancy,Norm
0,1,0
1,0.974441,0.00317323
2,0.956306,0.00576736
3,0.94584,0.00759329
4,0.938701,0.00920165
5,0.932907,0.0109256
6,0.931079,0.0115752
7,0.928455,0.0126576
8,0.926254,0.013743
9,0.924023,0.0150655
10,0.922952,0.0157892
11,0.92211,0.0164083
12,0.92076,0.0175173
13,0.919162,0.0190376
14,0.917572,0.0207751
15,0.916544,0.0220122
16,0.915528,0.0233209
17,0.912338,0.027929
18,0.910117,0.0314812
19,0.905512,0.0394584
20,0.903617,0.0429064
21,0.898964,0.0516394
22,0.894027,0.0611997
23,0.888851,0.0714451
24,0.883768,0.0816416
25,0.879125,0.0910219
26,0.873133,0.103201
27,0.86553,0.118727
28,0.860582,0.128845
29,0.857384,0.135383
30,0.849186,0.152145
