Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.24251,0.666667,0.333333
1,1.11355,0.678846,0.321935
2,0.998267,0.690782,0.312009
3,0.843432,0.708368,0.299163
4,0.672447,0.730354,0.285384
5,0.507921,0.755233,0.272062
6,0.363969,0.783295,0.259085
7,0.244765,0.824421,0.239249
8,0.160795,0.848849,0.215675
9,0.101231,0.869094,0.204579
10,0.058976,0.890632,0.196471
11,0.0358015,0.907195,0.18974
12,0.0211908,0.916464,0.180459
13,0.0125024,0.921519,0.17508
14,0.00930573,0.92576,0.172029
15,0.00693532,0.928365,0.169241
16,0.00572038,0.930355,0.167103
17,0.00476745,0.932072,0.165449
18,0.00412121,0.933234,0.164046
19,0.00366928,0.934957,0.162458
20,0.00320058,0.935212,0.161936
21,0.0031368,0.938197,0.159492
22,0.00268356,0.937995,0.159465
23,0.00233664,0.938994,0.158256
24,0.00208114,0.939996,0.15716
25,0.00195478,0.942005,0.155405
26,0.00164669,0.941901,0.155381
27,0.00150474,0.943276,0.15412
28,0.00145617,0.943238,0.154118
29,0.00134274,0.943214,0.154097
30,0.00129663,0.943276,0.154045
31,0.0012572,0.943558,0.153808
32,0.00121444,0.944107,0.153274
33,0.00117017,0.944094,0.153263
34,0.00112001,0.944972,0.152522
35,0.00109986,0.944951,0.152522
36,0.00102626,0.945013,0.152437
37,0.000997198,0.94538,0.152108
38,0.000986892,0.946554,0.1511
39,0.000932669,0.946517,0.151098
40,0.000843276,0.946572,0.150994
41,0.000812,0.946847,0.150697
42,0.000893827,0.948546,0.149106
43,0.000835069,0.948511,0.149105
44,0.000747469,0.948486,0.149104
45,0.000705084,0.948496,0.149088
46,0.000674619,0.94851,0.149043
47,0.000657105,0.948543,0.148961
48,0.000642598,0.948708,0.148618
49,0.000628774,0.948896,0.148335
50,0.000614585,0.948982,0.148158
51,0.00062786,0.949997,0.146782
52,0.000597452,0.949988,0.14678
53,0.000547239,0.950046,0.146615
54,0.000538299,0.950669,0.145822
55,0.000538043,0.952068,0.144197
56,0.000500332,0.952063,0.144194
57,0.000452191,0.952107,0.144021
58,0.000437913,0.952407,0.143642
59,0.000509776,0.954738,0.141915
60,0.000471135,0.954725,0.141912
61,0.000413112,0.954706,0.141906
62,0.000395518,0.954673,0.1419
63,0.000384127,0.954644,0.141885
64,0.000376614,0.954607,0.141852
65,0.000370118,0.954593,0.141793
66,0.000366607,0.954706,0.141647
67,0.000361827,0.954859,0.141517
68,0.000358449,0.955069,0.141349
69,0.000354067,0.955156,0.141267
70,0.000383712,0.956696,0.14058
71,0.000368373,0.956685,0.140579
72,0.000336258,0.956649,0.140577
73,0.000331048,0.95663,0.140576
74,0.000328067,0.956601,0.140567
75,0.000326,0.956611,0.140554
76,0.00032544,0.956783,0.140469
77,0.000326684,0.957113,0.140381
78,0.000321065,0.957107,0.140382
79,0.000320119,0.95723,0.140332
80,0.000319052,0.957231,0.140332
81,0.000320156,0.957511,0.140282
82,0.000314073,0.957594,0.140261
83,0.000405859,0.959702,0.140726
84,0.000387226,0.95969,0.140726
85,0.000351383,0.959679,0.140728
86,0.000324456,0.959672,0.140731
87,0.000312617,0.959659,0.140733
88,0.000303764,0.959642,0.140737
89,0.000299161,0.959623,0.14074
90,0.000296991,0.959573,0.140744
91,0.000294144,0.959541,0.140749
92,0.000293746,0.959512,0.140763
93,0.000292956,0.959587,0.140809
94,0.000293086,0.959779,0.140888
95,0.000289677,0.959772,0.140889
96,0.000291326,0.959853,0.140955
97,0.000289405,0.959854,0.140955
98,0.000294141,0.960038,0.141043
99,0.000291143,0.960065,0.141099
100,0.000357458,0.96167,0.142562
101,0.000340247,0.96166,0.142563
102,0.000307755,0.961649,0.142566
103,0.00029634,0.961644,0.142568
104,0.00028897,0.961635,0.142572
105,0.000285108,0.961619,0.142577
106,0.000282606,0.961587,0.142584
107,0.000280958,0.961555,0.142595
108,0.00028059,0.961525,0.142619
109,0.000279968,0.961533,0.142664
110,0.00028009,0.961679,0.142879
111,0.000277978,0.961675,0.142881
112,0.000277935,0.96177,0.14302
113,0.000278347,0.961927,0.143217
114,0.000276838,0.961909,0.143239
115,0.000301411,0.962958,0.144802
116,0.000295936,0.962954,0.144802
117,0.000277252,0.962914,0.144815
118,0.000275197,0.962882,0.14483
119,0.000274876,0.962853,0.144866
120,0.000274417,0.962879,0.144934
121,0.000276056,0.963123,0.145357
122,0.000277902,0.963377,0.14584
123,0.000273687,0.963375,0.14584
124,0.000277483,0.963541,0.146192
125,0.000276551,0.96354,0.146192
126,0.000279552,0.963783,0.146694
127,0.000283513,0.963927,0.147028
128,0.000450306,0.965942,0.151521
129,0.00042888,0.965939,0.151521
130,0.000388738,0.965932,0.151521
131,0.000352635,0.965932,0.151521
132,0.000329129,0.965928,0.151522
133,0.00031269,0.965923,0.151523
134,0.000298438,0.96592,0.151526
135,0.000290475,0.965919,0.151534
136,0.000285709,0.965904,0.151543
137,0.000283236,0.965881,0.151564
138,0.000282589,0.965855,0.151598
139,0.000292595,0.965831,0.151676
140,0.000284281,0.965827,0.151676
141,0.000287393,0.965836,0.151724
142,0.000287993,0.965839,0.151772
143,0.000616011,0.965959,0.152211
144,0.000580413,0.965954,0.152211
145,0.000521925,0.965945,0.152212
146,0.000449068,0.965936,0.152212
147,0.00036371,0.965932,0.152213
148,0.000312959,0.965915,0.152214
149,0.000294684,0.965918,0.152215
150,0.000287846,0.965924,0.152217
151,0.00028407,0.965922,0.152222
152,0.000282178,0.96592,0.152227
153,0.000281741,0.965919,0.152235
154,0.000283124,0.965923,0.152255
155,0.000308407,0.965957,0.152335
156,0.000299928,0.965954,0.152335
157,0.000286835,0.965957,0.152359
158,0.000313411,0.965992,0.152445
159,0.000855651,0.966227,0.153059
