Iteration,rel. Discrepancy,Norm
0,1,0
1,0.999353,6.89729e-05
2,0.998496,0.000189508
3,0.997945,0.000289409
4,0.99766,0.000351131
5,0.997149,0.000487186
6,0.996843,0.000583798
7,0.996556,0.0006869
8,0.996306,0.000787779
9,0.996037,0.000909222
10,0.995744,0.00106014
11,0.995394,0.00126374
12,0.995164,0.00140858
13,0.994723,0.00170593
14,0.994374,0.00195677
15,0.994115,0.0021503
16,0.993809,0.002387
17,0.993545,0.00259758
18,0.993077,0.00298835
19,0.992871,0.00316579
20,0.992574,0.00342884
21,0.992266,0.00370916
22,0.991922,0.00403043
23,0.991152,0.00477517
24,0.990357,0.0055718
25,0.989659,0.00628703
26,0.989009,0.00696694
27,0.988384,0.00762852
28,0.987144,0.00896325
29,0.986786,0.00935285
30,0.986194,0.010001
31,0.985618,0.0106366
32,0.985227,0.0110706
33,0.98494,0.0113905
34,0.984587,0.0117859
