Tolerance,Required Steps
0.9,1
0.9,1
0.854145,1
0.810626,1
0.769325,1
0.730128,1
0.692928,2
0.657623,2
0.624117,2
0.592318,2
0.56214,4
0.533499,6
0.506317,10
0.703086,11
0.729348,14
0.786558,15
0.799987,17
0.822694,19
0.840516,20
0.847642,20
0.846795,22
0.859862,9
0.816052,30
0.943871,2
0.89578,8
0.85014,10
0.879232,18
0.931974,26
0.951952,22
0.90345,28
0.923215,18
0.876177,32
0.929419,9
0.882066,41
0.973138,3
0.923556,25
0.876501,28
0.888844,48
0.934224,6
0.886625,54
0.986415,6
0.936157,53
0.99178,2
0.941249,33
0.893292,35
0.89849,68
0.946805,11
0.898565,79
0.98489,5
0.93471,84
0.887087,89
0.892537,123
0.92132,15
0.874378,138
0.985359,3
0.935155,141
0.887509,144
0.888963,222
0.927048,19
0.879815,241
0.989534,2
0.939118,167
0.891269,169
0.891664,336
0.944564,4
0.896438,332
0.850765,336
0.851689,668
0.924475,7
0.877373,675
0.99773,1
0.946895,6
0.898651,7
0.912216,13
0.951779,20
0.967688,33
0.979436,53
0.986209,86
0.990509,139
0.993134,199
0.994209,214
0.99362,251
0.993566,133
0.942944,384
0.979258,2
0.929365,386
0.882014,388
0.881739,774
0.939776,4
0.891895,778
0.846453,782
0.846391,1560
0.922075,1879
0.934369,27
0.886763,1906
0.997398,1
0.94658,10
0.898352,11
0.906685,21
0.95017,32
0.966331,53
0.978692,85
0.985727,138
0.990218,223
0.992952,361
0.994651,82
0.943973,443
0.98864,525
0.989424,968
0.99327,3
0.942663,971
0.894634,974
0.894063,1945
0.946003,11
0.897804,1956
0.998426,1
0.947556,9
0.899278,10
0.908441,19
0.950859,29
0.966836,48
0.978984,77
0.985912,125
0.990331,202
0.993022,327
0.994694,529
0.995723,856
0.99636,3
0.945595,859
0.897417,862
0.896876,1721
0.9474,2583
0.963989,29
0.914873,2612
0.998056,1
0.947205,10
0.898945,11
0.907223,21
0.950451,32
0.966516,53
0.978804,85
0.985797,138
0.99026,223
0.992979,361
0.994667,584
0.995707,850
0.996053,33
0.945304,883
0.996958,916
0.99607,29
0.945321,945
0.997324,9
0.94651,954
0.998496,3
0.947623,957
0.899341,960
0.898756,1917
0.94835,17
0.900031,1934
0.998122,1
0.947268,1935
0.899005,1936
0.898158,3871
0.948117,2
0.89981,14
0.853965,16
0.871347,30
0.930454,46
0.953689,76
0.970998,122
0.980951,198
0.987275,320
0.991134,518
0.993528,33
0.942908,551
0.995584,584
0.994838,827
0.995358,5
0.944645,832
0.896515,837
0.896236,1669
0.947015,10
0.898764,1679
0.998398,1
0.947529,1680
0.899253,1681
0.898413,3361
