Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.80811,0.666667,0.333333
1,1.62487,0.674936,0.325522
2,1.46052,0.683037,0.318673
3,1.24333,0.694914,0.309879
4,1.0032,0.710246,0.300345
5,0.767914,0.729108,0.290737
6,0.553232,0.752556,0.280845
7,0.367576,0.77613,0.27135
8,0.228177,0.79627,0.263505
9,0.141589,0.817582,0.256709
10,0.0840025,0.818183,0.254798
11,0.0484569,0.827461,0.253017
12,0.0287996,0.830779,0.251737
13,0.0153305,0.834598,0.251042
14,0.00771239,0.837186,0.251052
15,0.00536691,0.837909,0.251087
16,0.00388874,0.838567,0.251146
17,0.00298567,0.838797,0.25114
18,0.00245354,0.839307,0.251146
19,0.00206976,0.839562,0.251081
20,0.00199687,0.839564,0.251079
