Tolerance,Required Steps
0.9,1
0.9,1
0.854145,1
0.810626,1
0.769325,1
0.730128,2
0.692928,2
0.657623,3
0.624117,3
0.592318,5
0.56214,7
0.533499,12
0.727146,10
0.690098,11
0.717553,20
0.843809,20
0.842966,19
0.800017,24
0.840838,3
0.797997,27
0.757339,4
0.718753,31
0.682133,4
0.647378,35
0.614394,6
0.583091,41
0.93805,1
0.890256,1
0.844898,1
0.80185,2
0.760996,2
0.722223,4
0.685426,6
0.650503,10
0.789512,4
0.749286,14
0.71111,4
0.674879,18
0.640494,3
0.607861,21
0.57689,3
0.547498,24
0.519603,3
0.493129,27
0.468004,3
0.444159,30
0.421529,4
0.400052,34
0.37967,4
0.360326,38
0.341967,4
0.324544,42
0.308008,4
0.313714,46
0.297731,6
0.308554,52
0.919298,1
0.872459,1
0.828008,1
0.785821,1
0.745783,2
0.707785,3
0.671724,5
0.637499,4
0.605019,9
0.574193,2
0.544938,11
0.517173,2
0.651878,13
0.618665,2
0.587144,15
0.557229,2
0.671521,17
0.637307,1
0.604836,5
0.727925,6
0.708573,11
0.840199,1
0.797391,1
0.756764,2
0.803257,3
0.818798,5
0.77708,8
0.737488,2
0.799641,10
0.758899,2
0.743198,12
0.705332,2
0.737975,14
0.700375,1
0.664691,10
0.679559,11
0.707981,2
0.769761,13
0.730542,1
0.693321,3
0.782062,4
0.813537,7
0.772088,11
0.85411,1
0.810593,1
0.769293,2
0.820812,3
0.832228,5
0.789826,8
0.749584,2
0.778849,10
0.739167,2
0.736302,12
0.698787,2
0.748758,14
0.710609,1
0.674403,5
0.779185,6
0.749539,11
0.862522,1
0.818576,1
0.77687,2
0.813552,3
0.828267,5
0.786067,8
0.746017,2
0.815919,10
0.774348,1
0.734895,11
0.697452,2
0.790998,13
0.750697,1
0.712449,14
0.67615,2
0.686136,16
0.651177,2
0.648,18
0.614984,1
0.583651,19
0.553914,2
0.618494,21
0.586981,1
0.557075,22
0.528692,2
0.554056,24
0.525827,2
0.499036,26
0.47361,2
0.481118,28
0.456605,2
0.472524,30
0.448449,2
0.438993,32
0.416627,2
0.44231,34
0.419775,2
0.419155,36
0.397799,2
0.395412,38
0.375266,2
0.395104,40
0.374973,2
