Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.20651,0.666667,0.333333
1,1.08154,0.670119,0.330169
2,0.96952,0.673873,0.327218
3,0.763408,0.682721,0.321631
4,0.487954,0.70309,0.312271
5,0.304654,0.738036,0.291754
6,0.206194,0.774927,0.269628
7,0.108015,0.789326,0.263876
8,0.0500305,0.815075,0.255373
9,0.0254292,0.827214,0.248995
10,0.0170385,0.831368,0.245757
11,0.0128179,0.834482,0.244629
12,0.00914235,0.840697,0.241605
13,0.00766057,0.841533,0.239735
14,0.0080293,0.844229,0.238298
15,0.00694215,0.844148,0.238278
16,0.00731329,0.846044,0.236384
17,0.00594923,0.847767,0.235433
18,0.00677102,0.851223,0.232942
19,0.00536966,0.851147,0.232933
20,0.0045798,0.852917,0.231804
21,0.00439019,0.854788,0.230353
22,0.00366501,0.857306,0.228805
23,0.00267177,0.857983,0.228279
24,0.00298767,0.863916,0.22573
25,0.00256977,0.863856,0.225726
26,0.00200533,0.863787,0.225677
27,0.00199807,0.863789,0.225677
