Iteration,rel. Discrepancy,Norm
0,1,0
1,0.971685,0.00408855
2,0.83396,0.0282347
3,0.818108,0.0310752
4,0.805316,0.0338612
5,0.782297,0.0409546
6,0.771245,0.045462
7,0.766374,0.047848
8,0.761605,0.0504953
9,0.756753,0.0535616
10,0.752507,0.0565424
11,0.745429,0.0624398
12,0.741397,0.0664176
13,0.739276,0.0687251
14,0.737576,0.0706958
15,0.736327,0.0722327
16,0.734294,0.074868
17,0.732248,0.0777468
18,0.72979,0.0815689
19,0.728805,0.0832254
20,0.727545,0.0854569
21,0.726828,0.0867956
22,0.725111,0.0901771
23,0.723741,0.0930779
24,0.719991,0.10194
25,0.718872,0.104827
26,0.717774,0.107757
27,0.71694,0.110063
28,0.715157,0.115173
29,0.712934,0.121916
30,0.710778,0.128831
31,0.708393,0.136883
32,0.707877,0.138675
33,0.704654,0.150297
34,0.70231,0.159133
35,0.698049,0.175887
36,0.694867,0.188878
37,0.692294,0.199631
38,0.69007,0.209066
39,0.687028,0.222172
40,0.679163,0.256833
