Tolerance,Required Steps
0.9,1
0.9,1
0.854145,1
0.810626,1
0.769325,2
0.730128,3
0.692928,5
0.657623,5
0.624117,4
0.592318,6
0.56214,10
0.736547,7
0.69902,14
0.84866,4
0.805421,16
0.764385,7
0.725439,23
0.915522,3
0.868876,3
0.824607,6
0.782593,9
0.854207,9
0.853353,12
0.889124,3
0.843824,15
0.800831,18
0.833192,12
0.790741,30
0.91538,1
0.868741,2
0.824479,2
0.782472,2
0.742605,3
0.704769,4
0.668861,4
0.634783,8
0.60244,9
0.645967,17
0.811758,2
0.770399,9
0.731147,9
0.730416,12
0.797014,2
0.756406,2
0.717868,2
0.681292,2
0.64658,2
0.613637,2
0.582372,2
0.5527,2
0.52454,2
0.497815,2
0.472451,4
0.44838,6
0.425535,10
