Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.20651,0.313133,1.31313
1,1.0709,0.301738,1.29771
2,0.95291,0.300612,1.28731
3,0.734736,0.31561,1.273
4,0.510197,0.362024,1.25427
5,0.463794,0.390143,1.18278
6,0.351564,0.481296,1.10445
7,0.226784,0.526013,1.07235
8,0.125384,0.609477,1.04396
9,0.0624136,0.664533,1.01685
10,0.0412268,0.659867,1.00133
11,0.0289747,0.688546,0.987692
12,0.0203428,0.693808,0.978623
13,0.0157801,0.706176,0.972617
14,0.0124807,0.712548,0.965665
15,0.0101568,0.718917,0.960402
16,0.00872244,0.722466,0.954892
17,0.00756786,0.725885,0.949296
18,0.0067403,0.729254,0.94335
19,0.00604494,0.730352,0.93938
20,0.00551498,0.734445,0.933774
21,0.00503277,0.735798,0.930227
22,0.00464625,0.73879,0.925602
23,0.00429949,0.740662,0.922527
24,0.00401546,0.743156,0.918807
25,0.0037296,0.745059,0.916279
26,0.00351541,0.747491,0.913011
27,0.00326946,0.749025,0.911095
28,0.00309178,0.752189,0.907623
29,0.00287645,0.753102,0.906401
30,0.00308939,0.765903,0.898507
31,0.00275582,0.765695,0.898498
32,0.00223485,0.764845,0.897107
33,0.00213666,0.765926,0.894326
34,0.00202499,0.767167,0.89232
35,0.0019986,0.767149,0.892301
