Tolerance,Required Steps
0.9,1
0.9,1
0.854145,1
0.810626,1
0.769325,1
0.730128,2
0.692928,1
0.657623,2
0.624117,3
0.592318,3
0.56214,5
0.533499,8
0.506317,13
0.695499,16
0.75184,20
0.800671,22
0.817973,23
0.825061,23
0.824236,15
0.782241,23
0.857125,1
0.813455,2
0.772009,3
0.732675,5
0.695346,8
0.659918,13
0.789928,21
0.869085,1
0.824806,2
0.782782,3
0.742899,5
0.711095,8
0.721996,13
0.828092,21
0.892687,2
0.847205,23
0.80404,25
0.818897,4
0.786662,29
0.746581,2
0.708543,31
0.672443,27
0.645932,33
0.709598,2
0.7252,12
0.806726,8
0.93017,5
0.980486,4
0.994254,3
0.99801,2
