Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.25228,0.666667,0.333333
1,1.11762,0.677888,0.322832
2,0.998909,0.688831,0.31373
3,0.840814,0.704901,0.301989
4,0.667502,0.724957,0.289422
5,0.501762,0.747789,0.27722
6,0.357564,0.774441,0.264918
7,0.241031,0.813909,0.245521
8,0.161149,0.832349,0.226499
9,0.101377,0.853308,0.215282
10,0.0610844,0.870357,0.207928
11,0.0344385,0.885156,0.203047
12,0.0193236,0.893487,0.198331
13,0.0117124,0.896586,0.195098
14,0.00605832,0.901936,0.192628
15,0.0042999,0.902829,0.191498
16,0.00339112,0.904474,0.190675
17,0.00266429,0.904757,0.19013
18,0.00217309,0.90612,0.189408
19,0.00200138,0.906031,0.189371
20,0.00199813,0.906027,0.18937
