Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.639541,0.956757,0.136549
1,0.57485,0.958129,0.134354
2,0.516924,0.959416,0.132478
3,0.440803,0.96121,0.130148
4,0.356516,0.963387,0.127719
5,0.273647,0.965853,0.125397
6,0.199546,0.968681,0.123105
7,0.139174,0.971967,0.120363
8,0.0923701,0.972837,0.117853
9,0.058475,0.974719,0.116553
10,0.0353258,0.976451,0.11506
11,0.0198141,0.976746,0.114368
12,0.0107354,0.977606,0.113765
13,0.00643349,0.977925,0.113173
14,0.00370614,0.978313,0.112657
15,0.00248011,0.978475,0.112505
16,0.00200304,0.978524,0.112474
17,0.00199808,0.978524,0.112474
