Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.639541,0.871205,0.431626
1,0.573855,0.874548,0.430093
2,0.515343,0.877581,0.428839
3,0.438534,0.881682,0.427344
4,0.353948,0.886435,0.425876
5,0.271303,0.891507,0.424581
6,0.197699,0.896886,0.423448
7,0.137234,0.90544,0.421555
8,0.0929139,0.907458,0.417049
9,0.0586363,0.912538,0.414942
10,0.035159,0.915436,0.41206
11,0.0198049,0.915601,0.409512
12,0.0112255,0.917748,0.407438
13,0.0057025,0.918037,0.406112
14,0.00396886,0.918785,0.405674
15,0.00283387,0.919046,0.405256
16,0.00202104,0.919743,0.404838
17,0.00199802,0.919743,0.404838
