Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,0.336741,0.956757,0.136549
1,0.302345,0.958783,0.133469
2,0.27158,0.960597,0.130626
3,0.231024,0.963017,0.126791
4,0.186208,0.965653,0.12239
5,0.142425,0.968171,0.117826
6,0.103497,0.970945,0.113011
7,0.0719826,0.97602,0.106972
8,0.0488701,0.983403,0.0993046
9,0.0373638,0.985666,0.094129
10,0.0220234,0.98873,0.082201
11,0.0123742,0.991703,0.0733726
12,0.00663366,0.993197,0.0670612
13,0.00465078,0.993241,0.0647323
14,0.00337907,0.993747,0.0628806
15,0.00258373,0.994002,0.0611272
16,0.0020862,0.99443,0.0596369
17,0.00199779,0.994366,0.0595808
